species_key,id,vega_id,dpe_id,dpe_symbol,classification,display_name,form_key,is_official,canonical_national_dex,review_state,status,notes
SPECIES_KEY_NONE,0,0,0,SPECIES_NONE,VEGA_DPE_CANONICAL,？？？？？,,false,0,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_VEGA_001,1,1,,,VEGA_ORIGINAL,リープン,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_002,2,2,,,VEGA_ORIGINAL,リーティン,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_003,3,3,,,VEGA_ORIGINAL,リーテイル,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_004,4,4,,,VEGA_ORIGINAL,ファマー,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_005,5,5,,,VEGA_ORIGINAL,ファイマー,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_006,6,6,,,VEGA_ORIGINAL,ファマイン,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_007,7,7,,,VEGA_ORIGINAL,アクタシ,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_008,8,8,,,VEGA_ORIGINAL,レクオレ,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_009,9,9,,,VEGA_ORIGINAL,タテボーシ,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_TAILLOW,10,10,304,SPECIES_TAILLOW,VEGA_DPE_CANONICAL,スバメ,,true,276,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_SWELLOW,11,11,305,SPECIES_SWELLOW,VEGA_DPE_CANONICAL,オオスバメ,,true,277,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_RIOLU,12,12,500,SPECIES_RIOLU,VEGA_DPE_CANONICAL,リオル,,true,447,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_LUCARIO,13,13,501,SPECIES_LUCARIO,VEGA_DPE_CANONICAL,ルカリオ,,true,448,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_HOUNDOUR,14,14,228,SPECIES_HOUNDOUR,VEGA_DPE_CANONICAL,デルビル,,true,228,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
