placement_key,map_key,logical_location_key,placement_type,item_key,quantity,unlock_key,repeatability,flag_key,economy_tier,status,notes
PLACEMENT_KEY_EVOLUTION_000,MAP_KEY_TOHOKU_T024,T024,NPC_REWARD,ITEM_KEY_SUN_STONE,1,VEGA_PRE_ENTRY,LIMITED_REPEATABLE,FLAG_KEY_T16_0124,EVOLUTION_ACCESS,ACTIVE,進化経路永久入手不能防止
PLACEMENT_KEY_EVOLUTION_002,MAP_KEY_TOHOKU_T026,T026,NPC_REWARD,ITEM_KEY_FIRE_STONE,1,VEGA_BADGE_6,LIMITED_REPEATABLE,FLAG_KEY_T16_0126,EVOLUTION_ACCESS,ACTIVE,進化経路永久入手不能防止
PLACEMENT_KEY_EVOLUTION_004,MAP_KEY_TOHOKU_T028,T028,NPC_REWARD,ITEM_KEY_WATER_STONE,1,VEGA_BADGE_5,LIMITED_REPEATABLE,FLAG_KEY_T16_0128,EVOLUTION_ACCESS,ACTIVE,進化経路永久入手不能防止
PLACEMENT_KEY_EVOLUTION_006,MAP_KEY_TOHOKU_T030,T030,NPC_REWARD,ITEM_KEY_EVERSTONE,1,VEGA_BADGE_5,LIMITED_REPEATABLE,FLAG_KEY_T16_0130,EVOLUTION_ACCESS,ACTIVE,進化経路永久入手不能防止
PLACEMENT_KEY_EVOLUTION_008,MAP_KEY_TOHOKU_T032,T032,NPC_REWARD,ITEM_KEY_PROTECTOR,1,VEGA_BADGE_6,LIMITED_REPEATABLE,FLAG_KEY_T16_0132,EVOLUTION_ACCESS,ACTIVE,進化経路永久入手不能防止
PLACEMENT_KEY_EVOLUTION_010,MAP_KEY_TOHOKU_T034,T034,NPC_REWARD,ITEM_KEY_MAGMARIZER,1,VEGA_BADGE_6,LIMITED_REPEATABLE,FLAG_KEY_T16_0134,EVOLUTION_ACCESS,ACTIVE,進化経路永久入手不能防止
PLACEMENT_KEY_EVOLUTION_012,MAP_KEY_TOHOKU_T036,T036,NPC_REWARD,ITEM_KEY_REAPER_CLOTH,1,VEGA_BADGE_6,LIMITED_REPEATABLE,FLAG_KEY_T16_0136,EVOLUTION_ACCESS,ACTIVE,進化経路永久入手不能防止
PLACEMENT_KEY_EVOLUTION_014,MAP_KEY_TOHOKU_T038,T038,NPC_REWARD,ITEM_KEY_DUSK_STONE,1,VEGA_BADGE_6,LIMITED_REPEATABLE,FLAG_KEY_T16_0138,EVOLUTION_ACCESS,ACTIVE,進化経路永久入手不能防止
PLACEMENT_KEY_EVOLUTION_016,MAP_KEY_TOHOKU_T040,T040,NPC_REWARD,ITEM_KEY_ICE_STONE,1,VEGA_BADGE_7,LIMITED_REPEATABLE,FLAG_KEY_T16_0140,EVOLUTION_ACCESS,ACTIVE,進化経路永久入手不能防止
PLACEMENT_KEY_EVOLUTION_018,MAP_KEY_TOHOKU_T042,T042,NPC_REWARD,ITEM_KEY_RAZOR_CLAW,1,VEGA_BADGE_8,LIMITED_REPEATABLE,FLAG_KEY_T16_0142,EVOLUTION_ACCESS,ACTIVE,進化経路永久入手不能防止
PLACEMENT_KEY_EVOLUTION_020,MAP_KEY_TOHOKU_T044,T044,NPC_REWARD,ITEM_KEY_PRISM_SCALE,1,VEGA_HALL_OF_FAME,LIMITED_REPEATABLE,FLAG_KEY_T16_0144,EVOLUTION_ACCESS,ACTIVE,進化経路永久入手不能防止
PLACEMENT_KEY_EVOLUTION_022,MAP_KEY_TOHOKU_T046,T046,NPC_REWARD,ITEM_KEY_WHIPPED_DREAM,1,VEGA_HALL_OF_FAME,LIMITED_REPEATABLE,FLAG_KEY_T16_0146,EVOLUTION_ACCESS,ACTIVE,進化経路永久入手不能防止
PLACEMENT_KEY_EVOLUTION_024,MAP_KEY_TOHOKU_T048,T048,NPC_REWARD,ITEM_KEY_DEEP_SEA_TOOTH,1,VEGA_HALL_OF_FAME,LIMITED_REPEATABLE,FLAG_KEY_T16_0148,EVOLUTION_ACCESS,ACTIVE,進化経路永久入手不能防止
PLACEMENT_KEY_EVOLUTION_026,MAP_KEY_TOHOKU_T501,T501,NPC_REWARD,ITEM_KEY_METAL_COAT,1,VEGA_PRE_ENTRY,LIMITED_REPEATABLE,FLAG_KEY_T16_0150,EVOLUTION_ACCESS,ACTIVE,進化経路永久入手不能防止
PLACEMENT_KEY_EVOLUTION_028,MAP_KEY_TOHOKU_T503,T503,NPC_REWARD,ITEM_KEY_UP_GRADE,1,VEGA_PRE_ENTRY,LIMITED_REPEATABLE,FLAG_KEY_T16_0152,EVOLUTION_ACCESS,ACTIVE,進化経路永久入手不能防止
PLACEMENT_KEY_EVOLUTION_030,MAP_KEY_TOHOKU_T505,T505,NPC_REWARD,ITEM_KEY_BERRY_SWEET,1,VEGA_BADGE_1,LIMITED_REPEATABLE,FLAG_KEY_T16_0154,EVOLUTION_ACCESS,ACTIVE,進化経路永久入手不能防止
PLACEMENT_KEY_EVOLUTION_032,MAP_KEY_TOHOKU_T507,T507,NPC_REWARD,ITEM_KEY_CLOVER_SWEET,1,VEGA_BADGE_1,LIMITED_REPEATABLE,FLAG_KEY_T16_0156,EVOLUTION_ACCESS,ACTIVE,進化経路永久入手不能防止
PLACEMENT_KEY_EVOLUTION_034,MAP_KEY_TOHOKU_T509,T509,NPC_REWARD,ITEM_KEY_RIBBON_SWEET,1,VEGA_SHIOU_BADGE_3,LIMITED_REPEATABLE,FLAG_KEY_T16_0158,EVOLUTION_ACCESS,ACTIVE,進化経路永久入手不能防止
PLACEMENT_KEY_EVOLUTION_036,MAP_KEY_TOHOKU_T511,T511,NPC_REWARD,ITEM_KEY_SWEET_APPLE,1,VEGA_SHIOU_BADGE_3,LIMITED_REPEATABLE,FLAG_KEY_T16_0160,EVOLUTION_ACCESS,ACTIVE,進化経路永久入手不能防止
