trainer_key,id,source_trainer,classification,status,notes
FACILITY_TRAINER_KEY_FULL,743,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
FACILITY_TRAINER_KEY_MASTER,744,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
FACILITY_TRAINER_KEY_MIRAGE_1,745,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
FACILITY_TRAINER_KEY_MIRAGE_2,746,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
FACILITY_TRAINER_KEY_MIRAGE_3,747,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
FACILITY_TRAINER_KEY_MIRAGE_4,748,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
FACILITY_TRAINER_KEY_STANDARD,749,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
FACILITY_TRAINER_KEY_TRIAL,750,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_KANTO_GYM_01,751,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_KANTO_GYM_02,752,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_KANTO_GYM_03,753,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_KANTO_GYM_04,754,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_KANTO_GYM_05,755,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_KANTO_GYM_06,756,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_KANTO_GYM_07,757,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_KANTO_GYM_08,758,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_KANTO_LEAGUE_01,759,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_KANTO_LEAGUE_02,760,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_KANTO_LEAGUE_03,761,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_KANTO_LEAGUE_04,762,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_KANTO_LEAGUE_05,763,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_TOHOKU_REMATCH_01,764,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_TOHOKU_REMATCH_02,765,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_TOHOKU_REMATCH_03,766,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_TOHOKU_REMATCH_04,767,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_TOHOKU_REMATCH_05,768,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_TOHOKU_REMATCH_06,769,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_TOHOKU_REMATCH_07,770,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
TRAINER_KEY_TOHOKU_REMATCH_08,771,T16_GENERATED,PROJECT_APPEND,ALLOCATED,Vega 0..742とFactory pseudo 917..921を保護
