rematch_key,trainer_key,tier,league_stage,unlock_key,level_min,level_max,ai_profile_key,iv_floor,ev_policy,item_policy,mechanic_policy,registered_only,status,notes
REMATCH_KEY_TOHOKU_REMATCH_01_REMATCH_I,TRAINER_KEY_TOHOKU_REMATCH_01,REMATCH_I,NONE,VEGA_HALL_OF_FAME,58,84,AI_SEMI_SMART,31,ROLE_510,LEGAL_COMPETITIVE,NONE,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_01_REMATCH_II,TRAINER_KEY_TOHOKU_REMATCH_01,REMATCH_II,NONE,KANTO_CERT_4,72,94,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,MEGA,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_01_REMATCH_III,TRAINER_KEY_TOHOKU_REMATCH_01,REMATCH_III,NONE,KANTO_LEAGUE_CLEAR,88,100,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,ONE_OF_MEGA_Z_TERA,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_02_REMATCH_I,TRAINER_KEY_TOHOKU_REMATCH_02,REMATCH_I,NONE,VEGA_HALL_OF_FAME,58,84,AI_SEMI_SMART,31,ROLE_510,LEGAL_COMPETITIVE,NONE,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_02_REMATCH_II,TRAINER_KEY_TOHOKU_REMATCH_02,REMATCH_II,NONE,KANTO_CERT_4,72,94,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,MEGA,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_02_REMATCH_III,TRAINER_KEY_TOHOKU_REMATCH_02,REMATCH_III,NONE,KANTO_LEAGUE_CLEAR,88,100,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,ONE_OF_MEGA_Z_TERA,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_03_REMATCH_I,TRAINER_KEY_TOHOKU_REMATCH_03,REMATCH_I,NONE,VEGA_HALL_OF_FAME,58,84,AI_SEMI_SMART,31,ROLE_510,LEGAL_COMPETITIVE,NONE,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_03_REMATCH_II,TRAINER_KEY_TOHOKU_REMATCH_03,REMATCH_II,NONE,KANTO_CERT_4,72,94,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,MEGA,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_03_REMATCH_III,TRAINER_KEY_TOHOKU_REMATCH_03,REMATCH_III,NONE,KANTO_LEAGUE_CLEAR,88,100,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,ONE_OF_MEGA_Z_TERA,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_04_REMATCH_I,TRAINER_KEY_TOHOKU_REMATCH_04,REMATCH_I,NONE,VEGA_HALL_OF_FAME,58,84,AI_SEMI_SMART,31,ROLE_510,LEGAL_COMPETITIVE,NONE,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_04_REMATCH_II,TRAINER_KEY_TOHOKU_REMATCH_04,REMATCH_II,NONE,KANTO_CERT_4,72,94,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,MEGA,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_04_REMATCH_III,TRAINER_KEY_TOHOKU_REMATCH_04,REMATCH_III,NONE,KANTO_LEAGUE_CLEAR,88,100,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,ONE_OF_MEGA_Z_TERA,true,ACTIVE,登録済み地方強豪のみ
