type_key,id,vega_id,cfru_id,cfru_symbol,dpe_symbol,classification,display_name,icon_key,icon_width,icon_height,icon_tile_offset,icon_source,color_key,color_r,color_g,color_b,color_bgr555,color_source,effectiveness_key,special_rule,tera_input_code,status,notes
TYPE_KEY_NORMAL,0,0,0,TYPE_NORMAL,TYPE_NORMAL,VEGA_CFRU_CANONICAL,ノーマル,TYPE_ICON_VEGA_00,30,12,32,Vega ROM gMoveMenuInfoIcons[1],TYPE_COLOR_CFRU_NORMAL,21,21,15,16053,src/terastal.c:42:sTeraTypeColor[0],TYPE_EFFECTIVENESS_ROW_00,NONE,1,FROZEN,T06_RUNTIME_BIND_PENDING
TYPE_KEY_FIGHTING,1,1,1,TYPE_FIGHTING,TYPE_FIGHTING,VEGA_CFRU_CANONICAL,かくとう,TYPE_ICON_VEGA_01,30,12,100,Vega ROM gMoveMenuInfoIcons[2],TYPE_COLOR_CFRU_FIGHTING,24,6,5,5336,src/terastal.c:43:sTeraTypeColor[1],TYPE_EFFECTIVENESS_ROW_01,NONE,2,FROZEN,T06_RUNTIME_BIND_PENDING
TYPE_KEY_FLYING,2,2,2,TYPE_FLYING,TYPE_FLYING,VEGA_CFRU_CANONICAL,ひこう,TYPE_ICON_VEGA_02,30,12,96,Vega ROM gMoveMenuInfoIcons[3],TYPE_COLOR_CFRU_FLYING,21,18,30,31317,src/terastal.c:44:sTeraTypeColor[2],TYPE_EFFECTIVENESS_ROW_02,NONE,3,FROZEN,T06_RUNTIME_BIND_PENDING
TYPE_KEY_POISON,3,3,3,TYPE_POISON,TYPE_POISON,VEGA_CFRU_CANONICAL,どく,TYPE_ICON_VEGA_03,30,12,128,Vega ROM gMoveMenuInfoIcons[4],TYPE_COLOR_CFRU_POISON,20,8,20,20756,src/terastal.c:45:sTeraTypeColor[3],TYPE_EFFECTIVENESS_ROW_03,NONE,4,FROZEN,T06_RUNTIME_BIND_PENDING
TYPE_KEY_GROUND,4,4,4,TYPE_GROUND,TYPE_GROUND,VEGA_CFRU_CANONICAL,じめん,TYPE_ICON_VEGA_04,30,12,72,Vega ROM gMoveMenuInfoIcons[5],TYPE_COLOR_CFRU_GROUND,28,24,13,14108,src/terastal.c:46:sTeraTypeColor[4],TYPE_EFFECTIVENESS_ROW_04,NONE,5,FROZEN,T06_RUNTIME_BIND_PENDING
TYPE_KEY_ROCK,5,5,5,TYPE_ROCK,TYPE_ROCK,VEGA_CFRU_CANONICAL,いわ,TYPE_ICON_VEGA_05,30,12,68,Vega ROM gMoveMenuInfoIcons[6],TYPE_COLOR_CFRU_ROCK,23,20,7,7831,src/terastal.c:47:sTeraTypeColor[5],TYPE_EFFECTIVENESS_ROW_05,NONE,6,FROZEN,T06_RUNTIME_BIND_PENDING
TYPE_KEY_BUG,6,6,6,TYPE_BUG,TYPE_BUG,VEGA_CFRU_CANONICAL,むし,TYPE_ICON_VEGA_06,30,12,108,Vega ROM gMoveMenuInfoIcons[7],TYPE_COLOR_CFRU_BUG,21,23,4,4853,src/terastal.c:48:sTeraTypeColor[6],TYPE_EFFECTIVENESS_ROW_06,NONE,7,FROZEN,T06_RUNTIME_BIND_PENDING
TYPE_KEY_GHOST,7,7,7,TYPE_GHOST,TYPE_GHOST,VEGA_CFRU_CANONICAL,ゴースト,TYPE_ICON_VEGA_07,30,12,104,Vega ROM gMoveMenuInfoIcons[8],TYPE_COLOR_CFRU_GHOST,14,11,19,19822,src/terastal.c:49:sTeraTypeColor[7],TYPE_EFFECTIVENESS_ROW_07,NONE,8,FROZEN,T06_RUNTIME_BIND_PENDING
TYPE_KEY_STEEL,8,8,8,TYPE_STEEL,TYPE_STEEL,VEGA_CFRU_CANONICAL,はがね,TYPE_ICON_VEGA_08,30,12,136,Vega ROM gMoveMenuInfoIcons[9],TYPE_COLOR_CFRU_STEEL,23,23,26,27383,src/terastal.c:50:sTeraTypeColor[8],TYPE_EFFECTIVENESS_ROW_08,NONE,9,FROZEN,T06_RUNTIME_BIND_PENDING
TYPE_KEY_MYSTERY,9,9,9,TYPE_MYSTERY,TYPE_MYSTERY,VEGA_CFRU_CANONICAL,？？？,TYPE_ICON_VEGA_09,30,12,164,Vega ROM gMoveMenuInfoIcons[10],TYPE_COLOR_CFRU_MYSTERY,31,31,31,32767,src/terastal.c:51:sTeraTypeColor[9],TYPE_EFFECTIVENESS_ROW_09,MYSTERY_SPECIAL,10,FROZEN,T06_RUNTIME_BIND_PENDING
TYPE_KEY_FIRE,10,10,10,TYPE_FIRE,TYPE_FIRE,VEGA_CFRU_CANONICAL,ほのお,TYPE_ICON_VEGA_10,30,12,36,Vega ROM gMoveMenuInfoIcons[11],TYPE_COLOR_CFRU_FIRE,30,16,6,6686,src/terastal.c:52:sTeraTypeColor[10],TYPE_EFFECTIVENESS_ROW_10,NONE,11,FROZEN,T06_RUNTIME_BIND_PENDING
TYPE_KEY_WATER,11,11,11,TYPE_WATER,TYPE_WATER,VEGA_CFRU_CANONICAL,みず,TYPE_ICON_VEGA_11,30,12,40,Vega ROM gMoveMenuInfoIcons[12],TYPE_COLOR_CFRU_WATER,13,18,30,31309,src/terastal.c:53:sTeraTypeColor[11],TYPE_EFFECTIVENESS_ROW_11,NONE,12,FROZEN,T06_RUNTIME_BIND_PENDING
TYPE_KEY_GRASS,12,12,12,TYPE_GRASS,TYPE_GRASS,VEGA_CFRU_CANONICAL,くさ,TYPE_ICON_VEGA_12,30,12,44,Vega ROM gMoveMenuInfoIcons[13],TYPE_COLOR_CFRU_GRASS,15,25,10,11055,src/terastal.c:54:sTeraTypeColor[12],TYPE_EFFECTIVENESS_ROW_12,NONE,13,FROZEN,T06_RUNTIME_BIND_PENDING
TYPE_KEY_ELECTRIC,13,13,13,TYPE_ELECTRIC,TYPE_ELECTRIC,VEGA_CFRU_CANONICAL,でんき,TYPE_ICON_VEGA_13,30,12,64,Vega ROM gMoveMenuInfoIcons[14],TYPE_COLOR_CFRU_ELECTRIC,31,26,6,7007,src/terastal.c:55:sTeraTypeColor[13],TYPE_EFFECTIVENESS_ROW_13,NONE,14,FROZEN,T06_RUNTIME_BIND_PENDING
TYPE_KEY_PSYCHIC,14,14,14,TYPE_PSYCHIC,TYPE_PSYCHIC,VEGA_CFRU_CANONICAL,エスパー,TYPE_ICON_VEGA_14,30,12,132,Vega ROM gMoveMenuInfoIcons[15],TYPE_COLOR_CFRU_PSYCHIC,31,11,17,17791,src/terastal.c:56:sTeraTypeColor[14],TYPE_EFFECTIVENESS_ROW_14,NONE,15,FROZEN,T06_RUNTIME_BIND_PENDING
TYPE_KEY_ICE,15,15,15,TYPE_ICE,TYPE_ICE,VEGA_CFRU_CANONICAL,こおり,TYPE_ICON_VEGA_15,30,12,76,Vega ROM gMoveMenuInfoIcons[16],TYPE_COLOR_CFRU_ICE,19,27,27,28531,src/terastal.c:57:sTeraTypeColor[15],TYPE_EFFECTIVENESS_ROW_15,NONE,16,FROZEN,T06_RUNTIME_BIND_PENDING
TYPE_KEY_DRAGON,16,16,16,TYPE_DRAGON,TYPE_DRAGON,VEGA_CFRU_CANONICAL,ドラゴン,TYPE_ICON_VEGA_16,30,12,160,Vega ROM gMoveMenuInfoIcons[17],TYPE_COLOR_CFRU_DRAGON,14,7,31,31982,src/terastal.c:58:sTeraTypeColor[16],TYPE_EFFECTIVENESS_ROW_16,NONE,17,FROZEN,T06_RUNTIME_BIND_PENDING
TYPE_KEY_DARK,17,17,17,TYPE_DARK,TYPE_DARK,VEGA_CFRU_CANONICAL,あく,TYPE_ICON_VEGA_17,30,12,140,Vega ROM gMoveMenuInfoIcons[18],TYPE_COLOR_CFRU_DARK,14,11,9,9582,src/terastal.c:59:sTeraTypeColor[17],TYPE_EFFECTIVENESS_ROW_17,NONE,18,FROZEN,T06_RUNTIME_BIND_PENDING
TYPE_KEY_RESERVED_18,18,NONE,18,NONE,NONE,CFRU_RESERVED,ー,TYPE_ICON_CFRU_RESERVED_18,32,12,168,assembly/data/type_tables.s:37:TYPE_RESERVED_18,TYPE_COLOR_CFRU_RESERVED_18,31,31,31,32767,src/terastal.c:60:sTeraTypeColor[18],TYPE_EFFECTIVENESS_ROW_18,ALIGNMENT_RESERVED,19,RESERVED,T06_RUNTIME_BIND_PENDING
TYPE_KEY_ROOSTLESS,19,NONE,19,TYPE_ROOSTLESS,TYPE_ROOSTLESS,CFRU_SENTINEL,ー,TYPE_ICON_CFRU_ROOSTLESS,32,12,172,assembly/data/type_tables.s:38:TYPE_ROOSTLESS,TYPE_COLOR_CFRU_ROOSTLESS,31,31,31,32767,src/terastal.c:61:sTeraTypeColor[19],TYPE_EFFECTIVENESS_ROW_19,ROOSTLESS_SENTINEL,20,RESERVED,T06_RUNTIME_BIND_PENDING
TYPE_KEY_BLANK,20,NONE,20,TYPE_BLANK,TYPE_BLANK,CFRU_SENTINEL,ー,TYPE_ICON_CFRU_BLANK,32,12,192,assembly/data/type_tables.s:39:TYPE_BLANK,TYPE_COLOR_CFRU_BLANK,31,31,31,32767,src/terastal.c:62:sTeraTypeColor[20],TYPE_EFFECTIVENESS_ROW_20,BLANK_SENTINEL,21,RESERVED,T06_RUNTIME_BIND_PENDING
TYPE_KEY_RESERVED_21,21,NONE,21,NONE,NONE,CFRU_RESERVED,ー,TYPE_ICON_CFRU_RESERVED_21,32,12,196,assembly/data/type_tables.s:40:TYPE_RESERVED_21,TYPE_COLOR_CFRU_RESERVED_21,31,31,31,32767,src/terastal.c:63:sTeraTypeColor[21],TYPE_EFFECTIVENESS_ROW_21,ALIGNMENT_RESERVED,22,RESERVED,T06_RUNTIME_BIND_PENDING
TYPE_KEY_RESERVED_22,22,NONE,22,NONE,NONE,CFRU_RESERVED,ー,TYPE_ICON_CFRU_RESERVED_22,32,12,200,assembly/data/type_tables.s:41:TYPE_RESERVED_22,TYPE_COLOR_CFRU_RESERVED_22,31,31,31,32767,src/terastal.c:64:sTeraTypeColor[22],TYPE_EFFECTIVENESS_ROW_22,ALIGNMENT_RESERVED,23,RESERVED,T06_RUNTIME_BIND_PENDING
TYPE_KEY_FAIRY,23,NONE,23,TYPE_FAIRY,TYPE_FAIRY,CFRU_APPEND,フェアリー,TYPE_ICON_CFRU_FAIRY,32,12,224,assembly/data/type_tables.s:42:TYPE_FAIRY,TYPE_COLOR_CFRU_FAIRY,29,17,25,26173,src/terastal.c:65:sTeraTypeColor[23],TYPE_EFFECTIVENESS_ROW_23,FAIRY_CFRU_MATRIX,24,APPENDED,T06_RUNTIME_BIND_PENDING
TYPE_KEY_STELLAR,24,NONE,24,TYPE_STELLAR,TYPE_STELLAR,CFRU_APPEND,ステラ,TYPE_ICON_CFRU_STELLAR,32,12,228,assembly/data/type_tables.s:43:TYPE_STELLAR,TYPE_COLOR_CFRU_STELLAR,31,31,31,32767,src/terastal.c:66:sTeraTypeColor[24],TYPE_EFFECTIVENESS_ROW_24,STELLAR_CFRU_SPECIAL,25,APPENDED,T06_RUNTIME_BIND_PENDING
