event_key,event_arc,target_species_keys,region,logical_location_key,physical_map_key,group_id,map_id,host_event_kind,host_key,host_local_id_or_bg_index,host_script_before,host_script_after,x,y,elevation,graphics_id,movement_type,object_count_before,object_count_after,unlock_key,condition_expression,trigger,flow_state_keys,dialogue_key,battle_or_gift,capture_level,reward_key,flag_key,var_key,shared_capture_key,retry_policy,party_full_policy,box_full_policy,rtc_policy,ui_profile,required_runtime,generator_owner,serializer_output,runtime_status,physical_constraints,acceptance_tests,notes
EVENT_SPECIAL_NATIONAL_0144,ARC_LEGACY_GUARDIANS,SPECIES_KEY_ARTICUNO,KANTO,K38,KANTO_DUNGEON_SEAFOAM_ISLANDS_B4_F,97,87,OBJECT_REUSE,HOST_ICONIC_ARTICUNO,3,KANTO_DUNGEON_SEAFOAM_ISLANDS_B4_F_OBJECT_03_STUB,ACQ_HOST_SCRIPT_HOST_ICONIC_ARTICUNO,9,2,4,OBJ_EVENT_GFX_ARTICUNO,MOVEMENT_TYPE_FACE_DOWN,4,4,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),TALK_OR_EXAMINE_EXISTING_HOST,CHECK_UNLOCK|CHECK_LEDGER|OFFER|PREPARE|EXECUTE|COMMIT|RETRY|FULL|DONE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0144,CAPTURE,70,REWARD_SPECIAL_NATIONAL_0144,LEDGER_BIT_EVENT_SPECIAL_NATIONAL_0144,VAR_KEY_ACQUISITION_SELECTION,SHARED_CAPTURE_KEY_NATIONAL_0144,failure/cancel/reset rollback; success ledger commit,capture: normal storage check; gift/egg: party then PC then queue,do not begin/consume/commit; show FULL and remain available,never hard-block on RTC; use ecology radar fixed-day/night selector,STANDARD_MESSAGE_YESNO_LIST_PARTY_PC,ACQ_RUNTIME_CAPTURE,scripts/build_acquisition_content.py,generated/map_scripts/HOST_ICONIC_ARTICUNO.inc + generated/acquisition_event_defs.c,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,READY_TO_SERIALIZE; object delta=0; before=4; after=4,TEST_EVENT_SPECIAL_NATIONAL_0144_UNLOCK|_CANCEL|_RESET|_FULL|_SUCCESS|_DUPLICATE,ベガ遺産の守護者: 既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。 既存条件文=既存条件
EVENT_SPECIAL_NATIONAL_0145,ARC_LEGACY_GUARDIANS,SPECIES_KEY_ZAPDOS,KANTO,K40,KANTO_DUNGEON_POWER_PLANT,97,95,OBJECT_REUSE,HOST_ICONIC_ZAPDOS,6,KANTO_DUNGEON_POWER_PLANT_OBJECT_06_STUB,ACQ_HOST_SCRIPT_HOST_ICONIC_ZAPDOS,5,11,3,OBJ_EVENT_GFX_ZAPDOS,MOVEMENT_TYPE_FACE_DOWN,8,8,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),TALK_OR_EXAMINE_EXISTING_HOST,CHECK_UNLOCK|CHECK_LEDGER|OFFER|PREPARE|EXECUTE|COMMIT|RETRY|FULL|DONE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0145,CAPTURE,70,REWARD_SPECIAL_NATIONAL_0145,LEDGER_BIT_EVENT_SPECIAL_NATIONAL_0145,VAR_KEY_ACQUISITION_SELECTION,SHARED_CAPTURE_KEY_NATIONAL_0145,failure/cancel/reset rollback; success ledger commit,capture: normal storage check; gift/egg: party then PC then queue,do not begin/consume/commit; show FULL and remain available,never hard-block on RTC; use ecology radar fixed-day/night selector,STANDARD_MESSAGE_YESNO_LIST_PARTY_PC,ACQ_RUNTIME_CAPTURE,scripts/build_acquisition_content.py,generated/map_scripts/HOST_ICONIC_ZAPDOS.inc + generated/acquisition_event_defs.c,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,READY_TO_SERIALIZE; object delta=0; before=8; after=8,TEST_EVENT_SPECIAL_NATIONAL_0145_UNLOCK|_CANCEL|_RESET|_FULL|_SUCCESS|_DUPLICATE,ベガ遺産の守護者: 既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。 既存条件文=既存条件
EVENT_SPECIAL_NATIONAL_0146,ARC_LEGACY_GUARDIANS,SPECIES_KEY_MOLTRES,KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F_OBJECT_03_STUB,ACQ_HOST_SCRIPT_HOST_LEGACY_ARCHIVE,7,14,3,OBJ_EVENT_GFX_GYM_GUY,MOVEMENT_TYPE_FACE_RIGHT,8,8,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),TALK_OR_EXAMINE_EXISTING_HOST,CHECK_UNLOCK|CHECK_LEDGER|OFFER|PREPARE|EXECUTE|COMMIT|RETRY|FULL|DONE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0146,CAPTURE,70,REWARD_SPECIAL_NATIONAL_0146,LEDGER_BIT_EVENT_SPECIAL_NATIONAL_0146,VAR_KEY_ACQUISITION_SELECTION,SHARED_CAPTURE_KEY_NATIONAL_0146,failure/cancel/reset rollback; success ledger commit,capture: normal storage check; gift/egg: party then PC then queue,do not begin/consume/commit; show FULL and remain available,never hard-block on RTC; use ecology radar fixed-day/night selector,STANDARD_MESSAGE_YESNO_LIST_PARTY_PC,ACQ_RUNTIME_CAPTURE,scripts/build_acquisition_content.py,generated/map_scripts/HOST_LEGACY_ARCHIVE.inc + generated/acquisition_event_defs.c,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,READY_TO_SERIALIZE; object delta=0; before=8; after=8,TEST_EVENT_SPECIAL_NATIONAL_0146_UNLOCK|_CANCEL|_RESET|_FULL|_SUCCESS|_DUPLICATE,ベガ遺産の守護者: 既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。 既存条件文=既存条件
EVENT_SPECIAL_NATIONAL_0150,ARC_LEGACY_GUARDIANS,SPECIES_KEY_MEWTWO,KANTO,K43,KANTO_DUNGEON_CERULEAN_CAVE_B1_F,97,74,OBJECT_REUSE,HOST_ICONIC_MEWTWO,3,KANTO_DUNGEON_CERULEAN_CAVE_B1_F_OBJECT_03_STUB,ACQ_HOST_SCRIPT_HOST_ICONIC_MEWTWO,7,12,3,OBJ_EVENT_GFX_MEWTWO,MOVEMENT_TYPE_FACE_DOWN,12,12,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),TALK_OR_EXAMINE_EXISTING_HOST,CHECK_UNLOCK|CHECK_LEDGER|OFFER|PREPARE|EXECUTE|COMMIT|RETRY|FULL|DONE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0150,CAPTURE,70,REWARD_SPECIAL_NATIONAL_0150,LEDGER_BIT_EVENT_SPECIAL_NATIONAL_0150,VAR_KEY_ACQUISITION_SELECTION,SHARED_CAPTURE_KEY_NATIONAL_0150,failure/cancel/reset rollback; success ledger commit,capture: normal storage check; gift/egg: party then PC then queue,do not begin/consume/commit; show FULL and remain available,never hard-block on RTC; use ecology radar fixed-day/night selector,STANDARD_MESSAGE_YESNO_LIST_PARTY_PC,ACQ_RUNTIME_CAPTURE,scripts/build_acquisition_content.py,generated/map_scripts/HOST_ICONIC_MEWTWO.inc + generated/acquisition_event_defs.c,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,READY_TO_SERIALIZE; object delta=0; before=12; after=12,TEST_EVENT_SPECIAL_NATIONAL_0150_UNLOCK|_CANCEL|_RESET|_FULL|_SUCCESS|_DUPLICATE,ベガ遺産の守護者: 既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。 既存条件文=既存条件
EVENT_SPECIAL_NATIONAL_0151,ARC_LEGACY_GUARDIANS,SPECIES_KEY_MEW,KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F_OBJECT_03_STUB,ACQ_HOST_SCRIPT_HOST_LEGACY_ARCHIVE,7,14,3,OBJ_EVENT_GFX_GYM_GUY,MOVEMENT_TYPE_FACE_RIGHT,8,8,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),TALK_OR_EXAMINE_EXISTING_HOST,CHECK_UNLOCK|CHECK_LEDGER|OFFER|PREPARE|EXECUTE|COMMIT|RETRY|FULL|DONE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0151,CAPTURE,70,REWARD_SPECIAL_NATIONAL_0151,LEDGER_BIT_EVENT_SPECIAL_NATIONAL_0151,VAR_KEY_ACQUISITION_SELECTION,SHARED_CAPTURE_KEY_NATIONAL_0151,failure/cancel/reset rollback; success ledger commit,capture: normal storage check; gift/egg: party then PC then queue,do not begin/consume/commit; show FULL and remain available,never hard-block on RTC; use ecology radar fixed-day/night selector,STANDARD_MESSAGE_YESNO_LIST_PARTY_PC,ACQ_RUNTIME_CAPTURE,scripts/build_acquisition_content.py,generated/map_scripts/HOST_LEGACY_ARCHIVE.inc + generated/acquisition_event_defs.c,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,READY_TO_SERIALIZE; object delta=0; before=8; after=8,TEST_EVENT_SPECIAL_NATIONAL_0151_UNLOCK|_CANCEL|_RESET|_FULL|_SUCCESS|_DUPLICATE,ベガ遺産の守護者: 既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。 既存条件文=既存条件
EVENT_SPECIAL_NATIONAL_0243,ARC_LEGACY_GUARDIANS,SPECIES_KEY_RAIKOU,KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F_OBJECT_03_STUB,ACQ_HOST_SCRIPT_HOST_LEGACY_ARCHIVE,7,14,3,OBJ_EVENT_GFX_GYM_GUY,MOVEMENT_TYPE_FACE_RIGHT,8,8,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),TALK_OR_EXAMINE_EXISTING_HOST,CHECK_UNLOCK|CHECK_LEDGER|OFFER|PREPARE|EXECUTE|COMMIT|RETRY|FULL|DONE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0243,CAPTURE,70,REWARD_SPECIAL_NATIONAL_0243,LEDGER_BIT_EVENT_SPECIAL_NATIONAL_0243,VAR_KEY_ACQUISITION_SELECTION,SHARED_CAPTURE_KEY_NATIONAL_0243,failure/cancel/reset rollback; success ledger commit,capture: normal storage check; gift/egg: party then PC then queue,do not begin/consume/commit; show FULL and remain available,never hard-block on RTC; use ecology radar fixed-day/night selector,STANDARD_MESSAGE_YESNO_LIST_PARTY_PC,ACQ_RUNTIME_CAPTURE,scripts/build_acquisition_content.py,generated/map_scripts/HOST_LEGACY_ARCHIVE.inc + generated/acquisition_event_defs.c,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,READY_TO_SERIALIZE; object delta=0; before=8; after=8,TEST_EVENT_SPECIAL_NATIONAL_0243_UNLOCK|_CANCEL|_RESET|_FULL|_SUCCESS|_DUPLICATE,ベガ遺産の守護者: 既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。 既存条件文=既存条件
EVENT_SPECIAL_NATIONAL_0244,ARC_LEGACY_GUARDIANS,SPECIES_KEY_ENTEI,KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F_OBJECT_03_STUB,ACQ_HOST_SCRIPT_HOST_LEGACY_ARCHIVE,7,14,3,OBJ_EVENT_GFX_GYM_GUY,MOVEMENT_TYPE_FACE_RIGHT,8,8,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),TALK_OR_EXAMINE_EXISTING_HOST,CHECK_UNLOCK|CHECK_LEDGER|OFFER|PREPARE|EXECUTE|COMMIT|RETRY|FULL|DONE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0244,CAPTURE,70,REWARD_SPECIAL_NATIONAL_0244,LEDGER_BIT_EVENT_SPECIAL_NATIONAL_0244,VAR_KEY_ACQUISITION_SELECTION,SHARED_CAPTURE_KEY_NATIONAL_0244,failure/cancel/reset rollback; success ledger commit,capture: normal storage check; gift/egg: party then PC then queue,do not begin/consume/commit; show FULL and remain available,never hard-block on RTC; use ecology radar fixed-day/night selector,STANDARD_MESSAGE_YESNO_LIST_PARTY_PC,ACQ_RUNTIME_CAPTURE,scripts/build_acquisition_content.py,generated/map_scripts/HOST_LEGACY_ARCHIVE.inc + generated/acquisition_event_defs.c,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,READY_TO_SERIALIZE; object delta=0; before=8; after=8,TEST_EVENT_SPECIAL_NATIONAL_0244_UNLOCK|_CANCEL|_RESET|_FULL|_SUCCESS|_DUPLICATE,ベガ遺産の守護者: 既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。 既存条件文=既存条件
EVENT_SPECIAL_NATIONAL_0245,ARC_LEGACY_GUARDIANS,SPECIES_KEY_SUICUNE,KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F_OBJECT_03_STUB,ACQ_HOST_SCRIPT_HOST_LEGACY_ARCHIVE,7,14,3,OBJ_EVENT_GFX_GYM_GUY,MOVEMENT_TYPE_FACE_RIGHT,8,8,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),TALK_OR_EXAMINE_EXISTING_HOST,CHECK_UNLOCK|CHECK_LEDGER|OFFER|PREPARE|EXECUTE|COMMIT|RETRY|FULL|DONE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0245,CAPTURE,70,REWARD_SPECIAL_NATIONAL_0245,LEDGER_BIT_EVENT_SPECIAL_NATIONAL_0245,VAR_KEY_ACQUISITION_SELECTION,SHARED_CAPTURE_KEY_NATIONAL_0245,failure/cancel/reset rollback; success ledger commit,capture: normal storage check; gift/egg: party then PC then queue,do not begin/consume/commit; show FULL and remain available,never hard-block on RTC; use ecology radar fixed-day/night selector,STANDARD_MESSAGE_YESNO_LIST_PARTY_PC,ACQ_RUNTIME_CAPTURE,scripts/build_acquisition_content.py,generated/map_scripts/HOST_LEGACY_ARCHIVE.inc + generated/acquisition_event_defs.c,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,READY_TO_SERIALIZE; object delta=0; before=8; after=8,TEST_EVENT_SPECIAL_NATIONAL_0245_UNLOCK|_CANCEL|_RESET|_FULL|_SUCCESS|_DUPLICATE,ベガ遺産の守護者: 既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。 既存条件文=既存条件
EVENT_SPECIAL_NATIONAL_0249,ARC_LEGACY_GUARDIANS,SPECIES_KEY_LUGIA,KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F_OBJECT_03_STUB,ACQ_HOST_SCRIPT_HOST_LEGACY_ARCHIVE,7,14,3,OBJ_EVENT_GFX_GYM_GUY,MOVEMENT_TYPE_FACE_RIGHT,8,8,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),TALK_OR_EXAMINE_EXISTING_HOST,CHECK_UNLOCK|CHECK_LEDGER|OFFER|PREPARE|EXECUTE|COMMIT|RETRY|FULL|DONE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0249,CAPTURE,70,REWARD_SPECIAL_NATIONAL_0249,LEDGER_BIT_EVENT_SPECIAL_NATIONAL_0249,VAR_KEY_ACQUISITION_SELECTION,SHARED_CAPTURE_KEY_NATIONAL_0249,failure/cancel/reset rollback; success ledger commit,capture: normal storage check; gift/egg: party then PC then queue,do not begin/consume/commit; show FULL and remain available,never hard-block on RTC; use ecology radar fixed-day/night selector,STANDARD_MESSAGE_YESNO_LIST_PARTY_PC,ACQ_RUNTIME_CAPTURE,scripts/build_acquisition_content.py,generated/map_scripts/HOST_LEGACY_ARCHIVE.inc + generated/acquisition_event_defs.c,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,READY_TO_SERIALIZE; object delta=0; before=8; after=8,TEST_EVENT_SPECIAL_NATIONAL_0249_UNLOCK|_CANCEL|_RESET|_FULL|_SUCCESS|_DUPLICATE,ベガ遺産の守護者: 既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。 既存条件文=既存条件
EVENT_SPECIAL_NATIONAL_0250,ARC_LEGACY_GUARDIANS,SPECIES_KEY_HO_OH,KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F_OBJECT_03_STUB,ACQ_HOST_SCRIPT_HOST_LEGACY_ARCHIVE,7,14,3,OBJ_EVENT_GFX_GYM_GUY,MOVEMENT_TYPE_FACE_RIGHT,8,8,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),TALK_OR_EXAMINE_EXISTING_HOST,CHECK_UNLOCK|CHECK_LEDGER|OFFER|PREPARE|EXECUTE|COMMIT|RETRY|FULL|DONE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0250,CAPTURE,70,REWARD_SPECIAL_NATIONAL_0250,LEDGER_BIT_EVENT_SPECIAL_NATIONAL_0250,VAR_KEY_ACQUISITION_SELECTION,SHARED_CAPTURE_KEY_NATIONAL_0250,failure/cancel/reset rollback; success ledger commit,capture: normal storage check; gift/egg: party then PC then queue,do not begin/consume/commit; show FULL and remain available,never hard-block on RTC; use ecology radar fixed-day/night selector,STANDARD_MESSAGE_YESNO_LIST_PARTY_PC,ACQ_RUNTIME_CAPTURE,scripts/build_acquisition_content.py,generated/map_scripts/HOST_LEGACY_ARCHIVE.inc + generated/acquisition_event_defs.c,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,READY_TO_SERIALIZE; object delta=0; before=8; after=8,TEST_EVENT_SPECIAL_NATIONAL_0250_UNLOCK|_CANCEL|_RESET|_FULL|_SUCCESS|_DUPLICATE,ベガ遺産の守護者: 既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。 既存条件文=既存条件
EVENT_SPECIAL_NATIONAL_0251,ARC_JOHTO_TIME,SPECIES_KEY_CELEBI,KANTO,K25,KANTO_OUTDOOR_ROUTE25,96,37,OBJECT_REUSE,HOST_JOHTO_TIME,1,KANTO_OUTDOOR_ROUTE25_OBJECT_01_STUB,ACQ_HOST_SCRIPT_HOST_JOHTO_TIME,11,4,3,OBJ_EVENT_GFX_HIKER,MOVEMENT_TYPE_FACE_RIGHT,13,13,UNLOCK_HALL_OF_FAME,UNLOCK_HALL_OF_FAME AND (殿堂入り＋ときのかけら3個),TALK_OR_EXAMINE_EXISTING_HOST,CHECK_UNLOCK|CHECK_LEDGER|OFFER|PREPARE|EXECUTE|COMMIT|RETRY|FULL|DONE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0251,CAPTURE,80,REWARD_SPECIAL_NATIONAL_0251,LEDGER_BIT_EVENT_SPECIAL_NATIONAL_0251,VAR_KEY_ACQUISITION_SELECTION,SHARED_CAPTURE_KEY_NATIONAL_0251,failure/cancel/reset rollback; success ledger commit,capture: normal storage check; gift/egg: party then PC then queue,do not begin/consume/commit; show FULL and remain available,never hard-block on RTC; use ecology radar fixed-day/night selector,STANDARD_MESSAGE_YESNO_LIST_PARTY_PC,ACQ_RUNTIME_CAPTURE,scripts/build_acquisition_content.py,generated/map_scripts/HOST_JOHTO_TIME.inc + generated/acquisition_event_defs.c,READY_TO_INTEGRATE,READY_TO_SERIALIZE; object delta=0; before=13; after=13,TEST_EVENT_SPECIAL_NATIONAL_0251_UNLOCK|_CANCEL|_RESET|_FULL|_SUCCESS|_DUPLICATE,時渡りと三獣: 館内の時計を3つ直すと庭が出現し、セレビィと固定戦。 既存条件文=殿堂入り＋ときのかけら3個
