host_key,physical_map_key,group_id,map_id,logical_location_key,event_kind,local_id_or_bg_index,x,y,elevation,graphics_id,movement_type,script_before,script_after,object_count_before,object_count_after,object_delta,collision_or_reuse_evidence,status,source_json,notes
HOST_STARTER_LAB,KANTO_INDOOR_PALLET_TOWN_PROFESSOR_OAKS_LAB,98,3,K47,OBJECT_REUSE,1,3,11,3,OBJ_EVENT_GFX_SCIENTIST,MOVEMENT_TYPE_LOOK_AROUND,KANTO_INDOOR_PALLET_TOWN_PROFESSOR_OAKS_LAB_OBJECT_01_STUB,ACQ_HOST_SCRIPT_HOST_STARTER_LAB,10,10,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_INDOOR_PALLET_TOWN_PROFESSOR_OAKS_LAB.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_REGIONAL_NURSERY,KANTO_INDOOR_PALLET_TOWN_PROFESSOR_OAKS_LAB,98,3,K47,OBJECT_REUSE,3,11,10,3,OBJ_EVENT_GFX_SCIENTIST,MOVEMENT_TYPE_LOOK_AROUND,KANTO_INDOOR_PALLET_TOWN_PROFESSOR_OAKS_LAB_OBJECT_03_STUB,ACQ_HOST_SCRIPT_HOST_REGIONAL_NURSERY,10,10,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_INDOOR_PALLET_TOWN_PROFESSOR_OAKS_LAB.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_FOSSIL_LAB,KANTO_INDOOR_CINNABAR_ISLAND_POKEMON_LAB_EXPERIMENT_ROOM,98,76,K45,OBJECT_REUSE,1,11,8,3,OBJ_EVENT_GFX_BOY,MOVEMENT_TYPE_FACE_UP,KANTO_INDOOR_CINNABAR_ISLAND_POKEMON_LAB_EXPERIMENT_ROOM_OBJECT_01_STUB,ACQ_HOST_SCRIPT_HOST_FOSSIL_LAB,2,2,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_INDOOR_CINNABAR_ISLAND_POKEMON_LAB_EXPERIMENT_ROOM.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_TRADE_EMULATOR,KANTO_INDOOR_SAFFRON_CITY_POKEMON_CENTER_2_F,98,89,K41,OBJECT_REUSE,1,6,2,3,OBJ_EVENT_GFX_CABLE_CLUB_RECEPTIONIST,MOVEMENT_TYPE_FACE_DOWN,KANTO_INDOOR_SAFFRON_CITY_POKEMON_CENTER_2_F_OBJECT_01_STUB,ACQ_HOST_SCRIPT_HOST_TRADE_EMULATOR,4,4,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_INDOOR_SAFFRON_CITY_POKEMON_CENTER_2_F.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_MOVE_TUTOR,KANTO_INDOOR_SAFFRON_CITY_MR_PSYCHICS_HOUSE,98,90,K41,OBJECT_REUSE,1,7,4,3,OBJ_EVENT_GFX_BALDING_MAN,MOVEMENT_TYPE_FACE_LEFT,KANTO_INDOOR_SAFFRON_CITY_MR_PSYCHICS_HOUSE_OBJECT_01_STUB,ACQ_HOST_SCRIPT_HOST_MOVE_TUTOR,1,1,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_INDOOR_SAFFRON_CITY_MR_PSYCHICS_HOUSE.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_LEGACY_ARCHIVE,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,K42,OBJECT_REUSE,3,7,14,3,OBJ_EVENT_GFX_GYM_GUY,MOVEMENT_TYPE_FACE_RIGHT,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F_OBJECT_03_STUB,ACQ_HOST_SCRIPT_HOST_LEGACY_ARCHIVE,8,8,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_ANCIENT_GIANTS,KANTO_DUNGEON_MT_MOON_B2_F,97,3,K27,OBJECT_REUSE,1,13,7,3,OBJ_EVENT_GFX_FOSSIL,MOVEMENT_TYPE_FACE_DOWN,KANTO_DUNGEON_MT_MOON_B2_F_OBJECT_01_STUB,ACQ_HOST_SCRIPT_HOST_ANCIENT_GIANTS,11,11,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_DUNGEON_MT_MOON_B2_F.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_WEATHER_RESONANCE,KANTO_OUTDOOR_ROUTE10,96,21,K10,OBJECT_REUSE,1,7,60,3,OBJ_EVENT_GFX_PICNICKER,MOVEMENT_TYPE_LOOK_AROUND,KANTO_OUTDOOR_ROUTE10_OBJECT_01_STUB,ACQ_HOST_SCRIPT_HOST_WEATHER_RESONANCE,10,10,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,RESERVED_UNUSED_HOST,evidence/generated_maps/kanto/KANTO_OUTDOOR_ROUTE10.json,候補として監査済みだが割当eventなし。release serializerから明示除外。
HOST_LAKE_RIFT,KANTO_DUNGEON_CERULEAN_CAVE_2_F,97,73,K43,OBJECT_REUSE,1,9,18,3,OBJ_EVENT_GFX_ITEM_BALL,MOVEMENT_TYPE_FACE_DOWN,KANTO_DUNGEON_CERULEAN_CAVE_2_F_OBJECT_01_STUB,ACQ_HOST_SCRIPT_HOST_LAKE_RIFT,13,13,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_DUNGEON_CERULEAN_CAVE_2_F.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_SWORDS,KANTO_INDOOR_SAFFRON_CITY_DOJO,98,84,K41,OBJECT_REUSE,5,6,5,3,OBJ_EVENT_GFX_BLACK_BELT,MOVEMENT_TYPE_FACE_DOWN,KANTO_INDOOR_SAFFRON_CITY_DOJO_OBJECT_05_STUB,ACQ_HOST_SCRIPT_HOST_SWORDS,7,7,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_INDOOR_SAFFRON_CITY_DOJO.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
