national_no,species_key,display_name,is_baby_stage,evolution_chain_id,primary_acquisition,breeding_policy,full_storage_policy,runtime_status,notes
25,SPECIES_KEY_PIKACHU,ピカチュウ,no,10,WILD_TABLE,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,トーホク図鑑No.025。内部種族ID・図鑑登録・イベント参照を変更しない。
26,SPECIES_KEY_RAICHU,ライチュウ,no,10,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,トーホク図鑑No.026。内部種族ID・図鑑登録・イベント参照を変更しない。
35,SPECIES_KEY_CLEFAIRY,ピッピ,no,14,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,レベルアップ＋なつき度160以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）
36,SPECIES_KEY_CLEFABLE,ピクシー,no,14,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,道具使用＋つきのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）
39,SPECIES_KEY_JIGGLYPUFF,プリン,no,16,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,レベルアップ＋なつき度160以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）
40,SPECIES_KEY_WIGGLYTUFF,プクリン,no,16,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,道具使用＋つきのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）
106,SPECIES_KEY_HITMONLEE,サワムラー,no,47,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,トーホク図鑑No.047。内部種族ID・図鑑登録・イベント参照を変更しない。
107,SPECIES_KEY_HITMONCHAN,エビワラー,no,47,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,トーホク図鑑No.048。内部種族ID・図鑑登録・イベント参照を変更しない。
113,SPECIES_KEY_CHANSEY,ラッキー,no,51,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,トーホク図鑑No.288。内部種族ID・図鑑登録・イベント参照を変更しない。
122,SPECIES_KEY_MR_MIME,バリヤード,no,57,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,レベルアップ＋ものまねを覚えている（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）
124,SPECIES_KEY_JYNX,ルージュラ,no,59,WILD_TABLE,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,トーホク図鑑No.185。内部種族ID・図鑑登録・イベント参照を変更しない。
125,SPECIES_KEY_ELECTABUZZ,エレブー,no,60,WILD_TABLE,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,トーホク図鑑No.113。内部種族ID・図鑑登録・イベント参照を変更しない。
126,SPECIES_KEY_MAGMAR,ブーバー,no,61,WILD_TABLE,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,トーホク図鑑No.116。内部種族ID・図鑑登録・イベント参照を変更しない。
143,SPECIES_KEY_SNORLAX,カビゴン,no,72,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,レベルアップ＋なつき度160以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）
172,SPECIES_KEY_PICHU,ピチュー,yes,10,WILD_TABLE,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,トーホク図鑑No.024。内部種族ID・図鑑登録・イベント参照を変更しない。
173,SPECIES_KEY_CLEFFA,ピィ,yes,14,ECOLOGY_OVERLAY,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。
174,SPECIES_KEY_IGGLYBUFF,ププリン,yes,16,ECOLOGY_OVERLAY,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。
175,SPECIES_KEY_TOGEPI,トゲピー,yes,87,WILD_TABLE,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,トーホク図鑑No.018。内部種族ID・図鑑登録・イベント参照を変更しない。
176,SPECIES_KEY_TOGETIC,トゲチック,no,87,WILD_TABLE,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,トーホク図鑑No.019。内部種族ID・図鑑登録・イベント参照を変更しない。
183,SPECIES_KEY_MARILL,マリル,no,90,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,レベルアップ＋なつき度160以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）
184,SPECIES_KEY_AZUMARILL,マリルリ,no,90,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,レベルアップ＋Lv.18以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）
185,SPECIES_KEY_SUDOWOODO,ウソッキー,no,91,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,レベルアップ＋ものまねを覚えている（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）
202,SPECIES_KEY_WOBBUFFET,ソーナンス,no,100,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,レベルアップ＋Lv.15以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）
226,SPECIES_KEY_MANTINE,マンタイン,no,116,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,レベルアップ＋手持ちにテッポウオ（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）
236,SPECIES_KEY_TYROGUE,バルキー,yes,47,WILD_TABLE,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,トーホク図鑑No.046。内部種族ID・図鑑登録・イベント参照を変更しない。
237,SPECIES_KEY_HITMONTOP,カポエラー,no,47,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,トーホク図鑑No.049。内部種族ID・図鑑登録・イベント参照を変更しない。
238,SPECIES_KEY_SMOOCHUM,ムチュール,yes,59,WILD_TABLE,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,トーホク図鑑No.184。内部種族ID・図鑑登録・イベント参照を変更しない。
239,SPECIES_KEY_ELEKID,エレキッド,yes,60,WILD_TABLE,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,トーホク図鑑No.112。内部種族ID・図鑑登録・イベント参照を変更しない。
240,SPECIES_KEY_MAGBY,ブビィ,yes,61,WILD_TABLE,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,トーホク図鑑No.115。内部種族ID・図鑑登録・イベント参照を変更しない。
242,SPECIES_KEY_BLISSEY,ハピナス,no,51,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,トーホク図鑑No.289。内部種族ID・図鑑登録・イベント参照を変更しない。
298,SPECIES_KEY_AZURILL,ルリリ,yes,90,ECOLOGY_OVERLAY,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。
315,SPECIES_KEY_ROSELIA,ロゼリア,no,158,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,レベルアップ＋昼＋なつき度160以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）
358,SPECIES_KEY_CHIMECHO,チリーン,no,184,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,レベルアップ＋夜＋なつき度220以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）
360,SPECIES_KEY_WYNAUT,ソーナノ,yes,100,ECOLOGY_OVERLAY,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。
406,SPECIES_KEY_BUDEW,スボミー,yes,158,ECOLOGY_OVERLAY,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。
407,SPECIES_KEY_ROSERADE,ロズレイド,no,158,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,道具使用＋ひかりのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）
433,SPECIES_KEY_CHINGLING,リーシャン,yes,184,ECOLOGY_OVERLAY,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。
438,SPECIES_KEY_BONSLY,ウソハチ,yes,91,ECOLOGY_OVERLAY,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。
439,SPECIES_KEY_MIME_JR,マネネ,yes,57,ECOLOGY_OVERLAY,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。
440,SPECIES_KEY_HAPPINY,ピンプク,yes,51,WILD_TABLE,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,トーホク図鑑No.287。内部種族ID・図鑑登録・イベント参照を変更しない。
446,SPECIES_KEY_MUNCHLAX,ゴンベ,yes,72,ECOLOGY_OVERLAY,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。
447,SPECIES_KEY_RIOLU,リオル,yes,232,WILD_TABLE,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,トーホク図鑑No.012。内部種族ID・図鑑登録・イベント参照を変更しない。
448,SPECIES_KEY_LUCARIO,ルカリオ,no,232,WILD_TABLE,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,トーホク図鑑No.013。内部種族ID・図鑑登録・イベント参照を変更しない。
458,SPECIES_KEY_MANTYKE,タマンタ,yes,116,ECOLOGY_OVERLAY,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。
466,SPECIES_KEY_ELECTIVIRE,エレキブル,no,60,WILD_TABLE,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,トーホク図鑑No.114。内部種族ID・図鑑登録・イベント参照を変更しない。
467,SPECIES_KEY_MAGMORTAR,ブーバーン,no,61,WILD_TABLE,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,トーホク図鑑No.117。内部種族ID・図鑑登録・イベント参照を変更しない。
468,SPECIES_KEY_TOGEKISS,トゲキッス,no,87,WILD_TABLE,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,トーホク図鑑No.020。内部種族ID・図鑑登録・イベント参照を変更しない。
848,SPECIES_KEY_TOXEL,エレズン,yes,446,ECOLOGY_OVERLAY,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_REACHABLE_VERIFIED,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。
849,SPECIES_KEY_TOXTRICITY,ストリンダー,no,446,EVOLUTION,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,レベルアップ＋Lv.30以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）
866,SPECIES_KEY_MR_RIME,バリコオル,no,57,EVOLUTION_SUPPORT,same-ROM daycare/egg queue; incense-era babies do not require external item,egg not generated and parent/item not consumed,READY_TO_INTEGRATE,レベルアップ＋Lv.42以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）
