collection_key,species_key,canonical_id,display_name,national_no,vega_internal_id,base_or_form,target_status,completion_weight,route_required,is_official,family_key,form_key,source_classification,current_audit_class,exclusion_reason,evidence,notes
COLLECTION_CATALOG_0000,SPECIES_KEY_NONE,0,？？？？？,,0,BASE,INTERNAL_EXCLUDED,0,no,false,,,VEGA_DPE_CANONICAL,TARGET_EXCLUDED,ID 0 / NONE,snapshot/manifests/species_ids.csv,
COLLECTION_VEGA_0001,SPECIES_KEY_VEGA_001,1,リープン,,1,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0001,,VEGA_ORIGINAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_VEGA_0002,SPECIES_KEY_VEGA_002,2,リーティン,,2,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0002,,VEGA_ORIGINAL,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_VEGA_0003,SPECIES_KEY_VEGA_003,3,リーテイル,,3,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0003,,VEGA_ORIGINAL,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_VEGA_0004,SPECIES_KEY_VEGA_004,4,ファマー,,4,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0004,,VEGA_ORIGINAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_VEGA_0005,SPECIES_KEY_VEGA_005,5,ファイマー,,5,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0005,,VEGA_ORIGINAL,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_VEGA_0006,SPECIES_KEY_VEGA_006,6,ファマイン,,6,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0006,,VEGA_ORIGINAL,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_VEGA_0007,SPECIES_KEY_VEGA_007,7,アクタシ,,7,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0007,,VEGA_ORIGINAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_VEGA_0008,SPECIES_KEY_VEGA_008,8,レクオレ,,8,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0008,,VEGA_ORIGINAL,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_VEGA_0009,SPECIES_KEY_VEGA_009,9,タテボーシ,,9,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0009,,VEGA_ORIGINAL,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
