species_key,canonical_id,display_name,target_status,completion_weight,current_audit_class,proof_strength,current_method,current_runtime_status,current_physical_status,current_evidence,designed_primary_route_key,designed_method,designed_runtime_status,designed_physical_status,designed_evidence,remaining_exact_rom_gate
SPECIES_KEY_VEGA_001,1,リープン,REQUIRED_VEGA_ORIGINAL,1,EXISTING_ROM_WILD_OR_ECOLOGY,STRICT_ROM_DIRECT_SOURCE_VERIFIED,ROM_WILD_TABLE,ROM_DIRECT_SOURCE_VERIFIED_FROM_SUPPLIED_EXACT_AUDIT,EXACT_ROM_AUDIT_EVIDENCE_SUPPLIED,ROM_WILD:1/64:VEGA_NATIVE:LAND:Lv25-45; ROM_WILD:1/64:VEGA_NATIVE:LAND:Lv5-25,ROUTE_0001_VEGA_001,WILD_TABLE,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:1/64:VEGA_NATIVE:LAND:Lv5-25,capture/save regression remains; direct encounter source itself is evidenced
SPECIES_KEY_VEGA_002,2,リーティン,REQUIRED_VEGA_ORIGINAL,1,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,EXACT_EVOLUTION_EDGE_ONLY,EXACT_EVOLUTION_TABLE_EDGE,EXACT_EVOLUTION_EDGE_PRESENT_TRIGGER_SUPPLY_UNVERIFIED,TABLE_EDGE_VERIFIED_GLOBAL_TRIGGER_AUDIT_REQUIRED,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; distance=1; predecessor canonical id 1 (リープン); evolution table root 0x09F79290,ROUTE_0002_VEGA_002,EVOLUTION,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,GLOBAL_RUNTIME,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 1; evolution root 0x09F79290,"verify trigger, item, move, time, place, party predicates, storage, and save on exact ROM"
SPECIES_KEY_VEGA_003,3,リーテイル,REQUIRED_VEGA_ORIGINAL,1,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,EXACT_EVOLUTION_EDGE_ONLY,EXACT_EVOLUTION_TABLE_EDGE,EXACT_EVOLUTION_EDGE_PRESENT_TRIGGER_SUPPLY_UNVERIFIED,TABLE_EDGE_VERIFIED_GLOBAL_TRIGGER_AUDIT_REQUIRED,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; distance=2; predecessor canonical id 2 (リーティン); evolution table root 0x09F79290,ROUTE_0003_VEGA_003,EVOLUTION,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,GLOBAL_RUNTIME,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 2; evolution root 0x09F79290,"verify trigger, item, move, time, place, party predicates, storage, and save on exact ROM"
SPECIES_KEY_VEGA_004,4,ファマー,REQUIRED_VEGA_ORIGINAL,1,EXISTING_ROM_WILD_OR_ECOLOGY,STRICT_ROM_DIRECT_SOURCE_VERIFIED,ROM_WILD_TABLE,ROM_DIRECT_SOURCE_VERIFIED_FROM_SUPPLIED_EXACT_AUDIT,EXACT_ROM_AUDIT_EVIDENCE_SUPPLIED,ROM_WILD:1/64:VEGA_NATIVE:LAND:Lv25-45; ROM_WILD:1/64:VEGA_NATIVE:LAND:Lv5-25,ROUTE_0004_VEGA_004,WILD_TABLE,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:1/64:VEGA_NATIVE:LAND:Lv5-25,capture/save regression remains; direct encounter source itself is evidenced
SPECIES_KEY_VEGA_005,5,ファイマー,REQUIRED_VEGA_ORIGINAL,1,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,EXACT_EVOLUTION_EDGE_ONLY,EXACT_EVOLUTION_TABLE_EDGE,EXACT_EVOLUTION_EDGE_PRESENT_TRIGGER_SUPPLY_UNVERIFIED,TABLE_EDGE_VERIFIED_GLOBAL_TRIGGER_AUDIT_REQUIRED,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; distance=1; predecessor canonical id 4 (ファマー); evolution table root 0x09F79290,ROUTE_0005_VEGA_005,EVOLUTION,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,GLOBAL_RUNTIME,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 4; evolution root 0x09F79290,"verify trigger, item, move, time, place, party predicates, storage, and save on exact ROM"
SPECIES_KEY_VEGA_006,6,ファマイン,REQUIRED_VEGA_ORIGINAL,1,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,EXACT_EVOLUTION_EDGE_ONLY,EXACT_EVOLUTION_TABLE_EDGE,EXACT_EVOLUTION_EDGE_PRESENT_TRIGGER_SUPPLY_UNVERIFIED,TABLE_EDGE_VERIFIED_GLOBAL_TRIGGER_AUDIT_REQUIRED,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; distance=2; predecessor canonical id 5 (ファイマー); evolution table root 0x09F79290,ROUTE_0006_VEGA_006,EVOLUTION,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,GLOBAL_RUNTIME,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 5; evolution root 0x09F79290,"verify trigger, item, move, time, place, party predicates, storage, and save on exact ROM"
SPECIES_KEY_VEGA_007,7,アクタシ,REQUIRED_VEGA_ORIGINAL,1,EXISTING_ROM_WILD_OR_ECOLOGY,STRICT_ROM_DIRECT_SOURCE_VERIFIED,ROM_WILD_TABLE,ROM_DIRECT_SOURCE_VERIFIED_FROM_SUPPLIED_EXACT_AUDIT,EXACT_ROM_AUDIT_EVIDENCE_SUPPLIED,ROM_WILD:1/64:VEGA_NATIVE:WATER:Lv25-45; ROM_WILD:1/64:VEGA_NATIVE:WATER:Lv5-25,ROUTE_0007_VEGA_007,WILD_TABLE,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:1/64:VEGA_NATIVE:WATER:Lv5-25,capture/save regression remains; direct encounter source itself is evidenced
SPECIES_KEY_VEGA_008,8,レクオレ,REQUIRED_VEGA_ORIGINAL,1,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,EXACT_EVOLUTION_EDGE_ONLY,EXACT_EVOLUTION_TABLE_EDGE,EXACT_EVOLUTION_EDGE_PRESENT_TRIGGER_SUPPLY_UNVERIFIED,TABLE_EDGE_VERIFIED_GLOBAL_TRIGGER_AUDIT_REQUIRED,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; distance=1; predecessor canonical id 7 (アクタシ); evolution table root 0x09F79290,ROUTE_0008_VEGA_008,EVOLUTION,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,GLOBAL_RUNTIME,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 7; evolution root 0x09F79290,"verify trigger, item, move, time, place, party predicates, storage, and save on exact ROM"
SPECIES_KEY_VEGA_009,9,タテボーシ,REQUIRED_VEGA_ORIGINAL,1,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,EXACT_EVOLUTION_EDGE_ONLY,EXACT_EVOLUTION_TABLE_EDGE,EXACT_EVOLUTION_EDGE_PRESENT_TRIGGER_SUPPLY_UNVERIFIED,TABLE_EDGE_VERIFIED_GLOBAL_TRIGGER_AUDIT_REQUIRED,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; distance=2; predecessor canonical id 8 (レクオレ); evolution table root 0x09F79290,ROUTE_0009_VEGA_009,EVOLUTION,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,GLOBAL_RUNTIME,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 8; evolution root 0x09F79290,"verify trigger, item, move, time, place, party predicates, storage, and save on exact ROM"
SPECIES_KEY_TAILLOW,10,スバメ,REQUIRED_BASE,1,EXISTING_ROM_WILD_OR_ECOLOGY,STRICT_ROM_DIRECT_SOURCE_VERIFIED,ROM_WILD_TABLE,ROM_DIRECT_SOURCE_VERIFIED_FROM_SUPPLIED_EXACT_AUDIT,EXACT_ROM_AUDIT_EVIDENCE_SUPPLIED,ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv7-7; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv8-8; ROM_WILD:1/0:VEGA_NATIVE:LAND:Lv22-22; ROM_WILD:1/0:VEGA_NATIVE:LAND:Lv23-23; ROM_WILD:3/19:VEGA_NATIVE:LAND:Lv2-2; ROM_WILD:3/19:VEGA_NATIVE:LAND:Lv3-3; ROM_WILD:3/19:VEGA_NATIVE:LAND:Lv4-4; ROM_WILD:3/19:VEGA_NATIVE:LAND:Lv5-5; ROM_WILD:3/20:VEGA_NATIVE:LAND:Lv3-3; ROM_WILD:3/20:VEGA_NATIVE:LAND:Lv4-4; ROM_WILD:3/20:VEGA_NATIVE:LAND:Lv5-5; ROM_WILD:3/21:VEGA_NATIVE:LAND:Lv5-5; ROM_WILD:3/21:VEGA_NATIVE:LAND:Lv6-7; ROM_WILD:3/21:VEGA_NATIVE:LAND:Lv8-8; ROM_WILD:3/32:VEGA_NATIVE:WATER:Lv2-2; ROM_WILD:3/35:VEGA_NATIVE:LAND:Lv29-30; ROM_WILD:3/35:VEGA_NATIVE:LAND:Lv31-31; ROM_WILD:3/36:VEGA_NATIVE:LAND:Lv13-14; ROM_WILD:3/37:VEGA_NATIVE:LAND:Lv13-14; ROM_WILD:3/37:VEGA_NATIVE:LAND:Lv15-15; ROM_WILD:96/36:K24:FISHING:Lv74-79; ROM_WILD:96/36:K24:LAND:Lv74-79; ROM_WILD:96/36:K24:ROCK:Lv74-79; ROM_WILD:96/36:K24:WATER:Lv74-79,ROUTE_0010_TAILLOW,WILD_TABLE,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:3/19:VEGA_NATIVE:LAND:Lv2-2,capture/save regression remains; direct encounter source itself is evidenced
