collection_key,species_key,canonical_id,display_name,target_status,primary_route_key,fallback_route_key,region,logical_location_key,physical_map_key,group_id,map_id,host_kind,host_key,host_local_id_or_bg_index,x,y,elevation,method,method_detail,prerequisite_species_key,unlock_key,level_or_egg,repeatability,missable_policy,defeat_policy,party_full_policy,box_full_policy,rtc_fallback,shared_capture_key,runtime_status,physical_status,evidence,implementation_priority,notes
COLLECTION_VEGA_0121,SPECIES_KEY_VEGA_121,121,スミロドン,REQUIRED_VEGA_ORIGINAL,ROUTE_0121_VEGA_121,FALLBACK_KANTO_VEGA_0121,TOHOKU+KANTO,K45,KANTO_INDOOR_CINNABAR_ISLAND_POKEMON_LAB_EXPERIMENT_ROOM,98,76,OBJECT_REUSE,HOST_FOSSIL_LAB,1,11,8,3,FOSSIL_RESTORE,キバのカセキをシオリム研究所で復元,,UNLOCK_FOSSIL_SERVICE,LEGACY_VALUE_PRESERVED,ONE_REGISTRATION; failure retryable; Kanto rescue once,NON_MISSABLE,ROLLBACK_PENDING; legacy flag must not be committed on defeat/escape,PC_THEN_NO_COMMIT,NO_CONSUME_NO_LEDGER_WRITE,NOT_REQUIRED,SHARED_CAPTURE_KEY_VEGA_0121,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED_WITH_READY_KANTO_FALLBACK,READY_TO_SERIALIZE,legacy acquisition references + exact Kanto fallback host; Tohoku coords/script entry unverified,P0,既存Vega routeをprimary semanticとして保持。releaseはKanto fallbackのみemit可能。
COLLECTION_VEGA_0122,SPECIES_KEY_VEGA_122,122,マカドゥス,REQUIRED_VEGA_ORIGINAL,ROUTE_0122_VEGA_122,FALLBACK_KANTO_VEGA_0122,TOHOKU+KANTO,K45,KANTO_INDOOR_CINNABAR_ISLAND_POKEMON_LAB_EXPERIMENT_ROOM,98,76,OBJECT_REUSE,HOST_FOSSIL_LAB,1,11,8,3,EVOLUTION,スミロドンからLv.40で進化,SPECIES_KEY_VEGA_121,UNLOCK_EVOLUTION_GLOBAL,LEGACY_VALUE_PRESERVED,ONE_REGISTRATION; failure retryable; Kanto rescue once,NON_MISSABLE,ROLLBACK_PENDING; legacy flag must not be committed on defeat/escape,PC_THEN_NO_COMMIT,NO_CONSUME_NO_LEDGER_WRITE,NOT_REQUIRED,SHARED_CAPTURE_KEY_VEGA_0122,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED_WITH_READY_KANTO_FALLBACK,READY_TO_SERIALIZE,legacy acquisition references + exact Kanto fallback host; Tohoku coords/script entry unverified,P0,既存Vega routeをprimary semanticとして保持。releaseはKanto fallbackのみemit可能。 進化元=SPECIES_KEY_VEGA_121。
COLLECTION_VEGA_0142,SPECIES_KEY_VEGA_142,142,ライラプス,REQUIRED_VEGA_ORIGINAL,ROUTE_0142_VEGA_142,FALLBACK_KANTO_VEGA_0142,TOHOKU+KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,7,14,3,FIXED_CAPTURE,ネメア後、海底トンネル1Fの固定個体,,UNLOCK_SPECIAL_ARCHIVE,LEGACY_VALUE_PRESERVED,ONE_REGISTRATION; failure retryable; Kanto rescue once,NON_MISSABLE,ROLLBACK_PENDING; legacy flag must not be committed on defeat/escape,PC_THEN_NO_COMMIT,NO_CONSUME_NO_LEDGER_WRITE,NOT_REQUIRED,SHARED_CAPTURE_KEY_VEGA_0142,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED_WITH_READY_KANTO_FALLBACK,READY_TO_SERIALIZE,legacy acquisition references + exact Kanto fallback host; Tohoku coords/script entry unverified,P0,既存Vega routeをprimary semanticとして保持。releaseはKanto fallbackのみemit可能。
COLLECTION_VEGA_0143,SPECIES_KEY_VEGA_143,143,ガニメデ,REQUIRED_VEGA_ORIGINAL,ROUTE_0143_VEGA_143,FALLBACK_KANTO_VEGA_0143,TOHOKU+KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,7,14,3,FIXED_CAPTURE,ネメア後、ユキユキ山1Fの固定個体,,UNLOCK_SPECIAL_ARCHIVE,LEGACY_VALUE_PRESERVED,ONE_REGISTRATION; failure retryable; Kanto rescue once,NON_MISSABLE,ROLLBACK_PENDING; legacy flag must not be committed on defeat/escape,PC_THEN_NO_COMMIT,NO_CONSUME_NO_LEDGER_WRITE,NOT_REQUIRED,SHARED_CAPTURE_KEY_VEGA_0143,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED_WITH_READY_KANTO_FALLBACK,READY_TO_SERIALIZE,legacy acquisition references + exact Kanto fallback host; Tohoku coords/script entry unverified,P0,既存Vega routeをprimary semanticとして保持。releaseはKanto fallbackのみemit可能。
COLLECTION_VEGA_0144,SPECIES_KEY_VEGA_144,144,ネメア,REQUIRED_VEGA_ORIGINAL,ROUTE_0144_VEGA_144,FALLBACK_KANTO_VEGA_0144,TOHOKU+KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,7,14,3,FIXED_CAPTURE,D・H団クリア後、ニューアイランド城3F,,UNLOCK_SPECIAL_ARCHIVE,LEGACY_VALUE_PRESERVED,ONE_REGISTRATION; failure retryable; Kanto rescue once,NON_MISSABLE,ROLLBACK_PENDING; legacy flag must not be committed on defeat/escape,PC_THEN_NO_COMMIT,NO_CONSUME_NO_LEDGER_WRITE,NOT_REQUIRED,SHARED_CAPTURE_KEY_VEGA_0144,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED_WITH_READY_KANTO_FALLBACK,READY_TO_SERIALIZE,legacy acquisition references + exact Kanto fallback host; Tohoku coords/script entry unverified,P0,既存Vega routeをprimary semanticとして保持。releaseはKanto fallbackのみemit可能。
COLLECTION_NATIONAL_0483,SPECIES_KEY_DIALGA,145,ディアルガ,REQUIRED_BASE,ROUTE_0145_DIALGA,FALLBACK_KANTO_RESCUE_NATIONAL_0483,TOHOKU+KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,7,14,3,FIXED_CAPTURE,既存Vegaイベント保持＋ベガ遺産の守護者救済,,UNLOCK_SPECIAL_ARCHIVE,Lv.70,ONE_CAPTURE; defeat/escape/cancel/reset retryable,NON_MISSABLE,ROLLBACK_PENDING; reappear after map reload,capture goes through normal box; gift uses party then PC,capture battle not started / gift not consumed when storage unavailable,せいたいレーダーの朝昼／夜固定を使用,SHARED_CAPTURE_KEY_NATIONAL_0483,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,READY_TO_SERIALIZE,special master vega_existing=yes; Tohoku exact script entry audit required; Kanto host JSON verified,P0,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
COLLECTION_NATIONAL_0484,SPECIES_KEY_PALKIA,146,パルキア,REQUIRED_BASE,ROUTE_0146_PALKIA,FALLBACK_KANTO_RESCUE_NATIONAL_0484,TOHOKU+KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,7,14,3,FIXED_CAPTURE,既存Vegaイベント保持＋ベガ遺産の守護者救済,,UNLOCK_SPECIAL_ARCHIVE,Lv.70,ONE_CAPTURE; defeat/escape/cancel/reset retryable,NON_MISSABLE,ROLLBACK_PENDING; reappear after map reload,capture goes through normal box; gift uses party then PC,capture battle not started / gift not consumed when storage unavailable,せいたいレーダーの朝昼／夜固定を使用,SHARED_CAPTURE_KEY_NATIONAL_0484,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,READY_TO_SERIALIZE,special master vega_existing=yes; Tohoku exact script entry audit required; Kanto host JSON verified,P0,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
COLLECTION_NATIONAL_0491,SPECIES_KEY_DARKRAI,147,ダークライ,REQUIRED_BASE,ROUTE_0147_DARKRAI,FALLBACK_KANTO_RESCUE_NATIONAL_0491,TOHOKU+KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,7,14,3,FIXED_CAPTURE,既存Vegaイベント保持＋ベガ遺産の守護者救済,,UNLOCK_SPECIAL_ARCHIVE,Lv.70,ONE_CAPTURE; defeat/escape/cancel/reset retryable,NON_MISSABLE,ROLLBACK_PENDING; reappear after map reload,capture goes through normal box; gift uses party then PC,capture battle not started / gift not consumed when storage unavailable,せいたいレーダーの朝昼／夜固定を使用,SHARED_CAPTURE_KEY_NATIONAL_0491,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,READY_TO_SERIALIZE,special master vega_existing=yes; Tohoku exact script entry audit required; Kanto host JSON verified,P0,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
COLLECTION_VEGA_0388,SPECIES_KEY_VEGA_388,388,ティオルス,REQUIRED_VEGA_ORIGINAL,ROUTE_0388_VEGA_388,FALLBACK_KANTO_VEGA_0388,TOHOKU+KANTO,K45,KANTO_INDOOR_CINNABAR_ISLAND_POKEMON_LAB_EXPERIMENT_ROOM,98,76,OBJECT_REUSE,HOST_FOSSIL_LAB,1,11,8,3,FOSSIL_RESTORE,つばさのカセキを復元,,UNLOCK_FOSSIL_SERVICE,LEGACY_VALUE_PRESERVED,ONE_REGISTRATION; failure retryable; Kanto rescue once,NON_MISSABLE,ROLLBACK_PENDING; legacy flag must not be committed on defeat/escape,PC_THEN_NO_COMMIT,NO_CONSUME_NO_LEDGER_WRITE,NOT_REQUIRED,SHARED_CAPTURE_KEY_VEGA_0388,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED_WITH_READY_KANTO_FALLBACK,READY_TO_SERIALIZE,legacy acquisition references + exact Kanto fallback host; Tohoku coords/script entry unverified,P0,既存Vega routeをprimary semanticとして保持。releaseはKanto fallbackのみemit可能。
COLLECTION_VEGA_0389,SPECIES_KEY_VEGA_389,389,プテリクス,REQUIRED_VEGA_ORIGINAL,ROUTE_0389_VEGA_389,FALLBACK_KANTO_VEGA_0389,TOHOKU+KANTO,K45,KANTO_INDOOR_CINNABAR_ISLAND_POKEMON_LAB_EXPERIMENT_ROOM,98,76,OBJECT_REUSE,HOST_FOSSIL_LAB,1,11,8,3,EVOLUTION,ティオルスからLv.40で進化,SPECIES_KEY_VEGA_388,UNLOCK_EVOLUTION_GLOBAL,LEGACY_VALUE_PRESERVED,ONE_REGISTRATION; failure retryable; Kanto rescue once,NON_MISSABLE,ROLLBACK_PENDING; legacy flag must not be committed on defeat/escape,PC_THEN_NO_COMMIT,NO_CONSUME_NO_LEDGER_WRITE,NOT_REQUIRED,SHARED_CAPTURE_KEY_VEGA_0389,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED_WITH_READY_KANTO_FALLBACK,READY_TO_SERIALIZE,legacy acquisition references + exact Kanto fallback host; Tohoku coords/script entry unverified,P0,既存Vega routeをprimary semanticとして保持。releaseはKanto fallbackのみemit可能。 進化元=SPECIES_KEY_VEGA_388。
