fossil_key,target_species_key,canonical_id,national_no_or_vega_id,display_name,source_item_key,component_policy,host_key,unlock_key,input_repeatable_source,delivery_policy,claim_policy,runtime_status,notes
FOSSIL_RESTORE_NATIONAL_0138,SPECIES_KEY_OMANYTE,487,138,オムナイト,ITEM_KEY_ACQ_FOSSIL_NATIONAL_0138,単一化石。ガラル4種はsource itemを2部品合成recipeへ解決。,HOST_FOSSIL_LAB,UNLOCK_FOSSIL_SERVICE,HOST_ANCIENT_GIANTSの採掘調査／いわくだき報酬。raw item IDはallocatorが解決。,party→PC; 全満杯なら化石を消費しない,初回登録を保証。化石自体は反復入手可。,READY_TO_INTEGRATE,化石はちえのどうくつ／いわくだき／採掘依頼で反復入手。ガラル化石は2部品合成。
FOSSIL_RESTORE_NATIONAL_0140,SPECIES_KEY_KABUTO,489,140,カブト,ITEM_KEY_ACQ_FOSSIL_NATIONAL_0140,単一化石。ガラル4種はsource itemを2部品合成recipeへ解決。,HOST_FOSSIL_LAB,UNLOCK_FOSSIL_SERVICE,HOST_ANCIENT_GIANTSの採掘調査／いわくだき報酬。raw item IDはallocatorが解決。,party→PC; 全満杯なら化石を消費しない,初回登録を保証。化石自体は反復入手可。,READY_TO_INTEGRATE,化石はちえのどうくつ／いわくだき／採掘依頼で反復入手。ガラル化石は2部品合成。
FOSSIL_RESTORE_NATIONAL_0347,SPECIES_KEY_ANORITH,635,347,アノプス,ITEM_KEY_ACQ_FOSSIL_NATIONAL_0347,単一化石。ガラル4種はsource itemを2部品合成recipeへ解決。,HOST_FOSSIL_LAB,UNLOCK_FOSSIL_SERVICE,HOST_ANCIENT_GIANTSの採掘調査／いわくだき報酬。raw item IDはallocatorが解決。,party→PC; 全満杯なら化石を消費しない,初回登録を保証。化石自体は反復入手可。,READY_TO_INTEGRATE,化石はちえのどうくつ／いわくだき／採掘依頼で反復入手。ガラル化石は2部品合成。
FOSSIL_RESTORE_NATIONAL_0408,SPECIES_KEY_CRANIDOS,698,408,ズガイドス,ITEM_KEY_ACQ_FOSSIL_NATIONAL_0408,単一化石。ガラル4種はsource itemを2部品合成recipeへ解決。,HOST_FOSSIL_LAB,UNLOCK_FOSSIL_SERVICE,HOST_ANCIENT_GIANTSの採掘調査／いわくだき報酬。raw item IDはallocatorが解決。,party→PC; 全満杯なら化石を消費しない,初回登録を保証。化石自体は反復入手可。,READY_TO_INTEGRATE,化石はちえのどうくつ／いわくだき／採掘依頼で反復入手。ガラル化石は2部品合成。
FOSSIL_RESTORE_NATIONAL_0410,SPECIES_KEY_SHIELDON,700,410,タテトプス,ITEM_KEY_ACQ_FOSSIL_NATIONAL_0410,単一化石。ガラル4種はsource itemを2部品合成recipeへ解決。,HOST_FOSSIL_LAB,UNLOCK_FOSSIL_SERVICE,HOST_ANCIENT_GIANTSの採掘調査／いわくだき報酬。raw item IDはallocatorが解決。,party→PC; 全満杯なら化石を消費しない,初回登録を保証。化石自体は反復入手可。,READY_TO_INTEGRATE,化石はちえのどうくつ／いわくだき／採掘依頼で反復入手。ガラル化石は2部品合成。
FOSSIL_RESTORE_NATIONAL_0564,SPECIES_KEY_TIRTOUGA,812,564,プロトーガ,ITEM_KEY_ACQ_FOSSIL_NATIONAL_0564,単一化石。ガラル4種はsource itemを2部品合成recipeへ解決。,HOST_FOSSIL_LAB,UNLOCK_FOSSIL_SERVICE,HOST_ANCIENT_GIANTSの採掘調査／いわくだき報酬。raw item IDはallocatorが解決。,party→PC; 全満杯なら化石を消費しない,初回登録を保証。化石自体は反復入手可。,READY_TO_INTEGRATE,化石はちえのどうくつ／いわくだき／採掘依頼で反復入手。ガラル化石は2部品合成。
FOSSIL_RESTORE_NATIONAL_0566,SPECIES_KEY_ARCHEN,814,566,アーケン,ITEM_KEY_ACQ_FOSSIL_NATIONAL_0566,単一化石。ガラル4種はsource itemを2部品合成recipeへ解決。,HOST_FOSSIL_LAB,UNLOCK_FOSSIL_SERVICE,HOST_ANCIENT_GIANTSの採掘調査／いわくだき報酬。raw item IDはallocatorが解決。,party→PC; 全満杯なら化石を消費しない,初回登録を保証。化石自体は反復入手可。,READY_TO_INTEGRATE,化石はちえのどうくつ／いわくだき／採掘依頼で反復入手。ガラル化石は2部品合成。
FOSSIL_RESTORE_NATIONAL_0696,SPECIES_KEY_TYRUNT,985,696,チゴラス,ITEM_KEY_ACQ_FOSSIL_NATIONAL_0696,単一化石。ガラル4種はsource itemを2部品合成recipeへ解決。,HOST_FOSSIL_LAB,UNLOCK_FOSSIL_SERVICE,HOST_ANCIENT_GIANTSの採掘調査／いわくだき報酬。raw item IDはallocatorが解決。,party→PC; 全満杯なら化石を消費しない,初回登録を保証。化石自体は反復入手可。,READY_TO_INTEGRATE,化石はちえのどうくつ／いわくだき／採掘依頼で反復入手。ガラル化石は2部品合成。
FOSSIL_RESTORE_NATIONAL_0698,SPECIES_KEY_AMAURA,987,698,アマルス,ITEM_KEY_ACQ_FOSSIL_NATIONAL_0698,単一化石。ガラル4種はsource itemを2部品合成recipeへ解決。,HOST_FOSSIL_LAB,UNLOCK_FOSSIL_SERVICE,HOST_ANCIENT_GIANTSの採掘調査／いわくだき報酬。raw item IDはallocatorが解決。,party→PC; 全満杯なら化石を消費しない,初回登録を保証。化石自体は反復入手可。,READY_TO_INTEGRATE,化石はちえのどうくつ／いわくだき／採掘依頼で反復入手。ガラル化石は2部品合成。
FOSSIL_RESTORE_NATIONAL_0880,SPECIES_KEY_DRACOZOLT,1353,880,パッチラゴン,ITEM_KEY_ACQ_FOSSIL_NATIONAL_0880,単一化石。ガラル4種はsource itemを2部品合成recipeへ解決。,HOST_FOSSIL_LAB,UNLOCK_FOSSIL_SERVICE,HOST_ANCIENT_GIANTSの採掘調査／いわくだき報酬。raw item IDはallocatorが解決。,party→PC; 全満杯なら化石を消費しない,初回登録を保証。化石自体は反復入手可。,READY_TO_INTEGRATE,化石はちえのどうくつ／いわくだき／採掘依頼で反復入手。ガラル化石は2部品合成。
