canonical_id,species_key,display_name,target_status,block_from_wild,block_from_event,block_from_completion,reason,known_regression
252,SPECIES_KEY_VEGA_252,フシギバナ,INTERNAL_EXCLUDED_CROSS_ROM_SLOT,yes,yes,yes,別枠／互換用の同名内部Species,
253,SPECIES_KEY_VEGA_253,リザードン,INTERNAL_EXCLUDED_CROSS_ROM_SLOT,yes,yes,yes,別枠／互換用の同名内部Species,
254,SPECIES_KEY_VEGA_254,カメックス,INTERNAL_EXCLUDED_CROSS_ROM_SLOT,yes,yes,yes,別枠／互換用の同名内部Species,
256,SPECIES_KEY_VEGA_256,ピカチュウ,INTERNAL_EXCLUDED_CROSS_ROM_SLOT,yes,yes,yes,別枠／互換用の同名内部Species,
257,SPECIES_KEY_VEGA_257,アスフィア,BATTLE_ONLY_EXCLUDED_COPY,yes,yes,yes,ターナー等の戦闘専用コピー,
258,SPECIES_KEY_VEGA_258,アスフィア,BATTLE_ONLY_EXCLUDED_COPY,yes,yes,yes,ターナー等の戦闘専用コピー,
259,SPECIES_KEY_VEGA_259,ラクチャン,BATTLE_ONLY_EXCLUDED_COPY,yes,yes,yes,ターナー等の戦闘専用コピー,
260,SPECIES_KEY_VEGA_260,ルギア,BATTLE_ONLY_EXCLUDED_COPY,yes,yes,yes,ターナー等の戦闘専用コピー,
261,SPECIES_KEY_VEGA_261,ディアルガ,BATTLE_ONLY_EXCLUDED_COPY,yes,yes,yes,ターナー等の戦闘専用コピー,
262,SPECIES_KEY_VEGA_262,ネメア,BATTLE_ONLY_EXCLUDED_COPY,yes,yes,yes,ターナー等の戦闘専用コピー,
263,SPECIES_KEY_VEGA_263,？,INTERNAL_EXCLUDED_RESERVED,yes,yes,yes,「？」予約枠,
264,SPECIES_KEY_VEGA_264,？,INTERNAL_EXCLUDED_RESERVED,yes,yes,yes,「？」予約枠,
265,SPECIES_KEY_VEGA_265,？,INTERNAL_EXCLUDED_RESERVED,yes,yes,yes,「？」予約枠,
266,SPECIES_KEY_VEGA_266,？,INTERNAL_EXCLUDED_RESERVED,yes,yes,yes,「？」予約枠,
267,SPECIES_KEY_VEGA_267,？,INTERNAL_EXCLUDED_RESERVED,yes,yes,yes,「？」予約枠,
268,SPECIES_KEY_VEGA_268,？,INTERNAL_EXCLUDED_RESERVED,yes,yes,yes,「？」予約枠,
269,SPECIES_KEY_VEGA_269,？,INTERNAL_EXCLUDED_RESERVED,yes,yes,yes,「？」予約枠,
270,SPECIES_KEY_VEGA_270,？,INTERNAL_EXCLUDED_RESERVED,yes,yes,yes,「？」予約枠,
271,SPECIES_KEY_VEGA_271,？,INTERNAL_EXCLUDED_RESERVED,yes,yes,yes,「？」予約枠,
272,SPECIES_KEY_VEGA_272,？,INTERNAL_EXCLUDED_RESERVED,yes,yes,yes,「？」予約枠,
273,SPECIES_KEY_VEGA_273,？,INTERNAL_EXCLUDED_RESERVED,yes,yes,yes,「？」予約枠,
274,SPECIES_KEY_VEGA_274,？,INTERNAL_EXCLUDED_RESERVED,yes,yes,yes,「？」予約枠,
275,SPECIES_KEY_VEGA_275,？,INTERNAL_EXCLUDED_RESERVED,yes,yes,yes,「？」予約枠,
276,SPECIES_KEY_VEGA_276,？,INTERNAL_EXCLUDED_RESERVED,yes,yes,yes,「？」予約枠,
282,SPECIES_KEY_VEGA_282,ストライク,INTERNAL_EXCLUDED_CROSS_ROM_SLOT,yes,yes,yes,別枠／互換用の同名内部Species,internal Scyther leaked through direct source; replace with official ID 255
