physical_map_key,group_id,map_id,object_count_before,object_count_after,object_delta,host_count,event_count,script_dispatch_policy,text_entry_count,status,notes
KANTO_DUNGEON_CERULEAN_CAVE_2_F,97,73,13,13,0,1,8,one thin host script; standard list dispatches data rows,72,READY_TO_SERIALIZE,イベント件数はデータ行数。map object数は増えない。
KANTO_DUNGEON_CERULEAN_CAVE_B1_F,97,74,12,12,0,2,3,one thin host script; standard list dispatches data rows,27,READY_TO_SERIALIZE,イベント件数はデータ行数。map object数は増えない。
KANTO_DUNGEON_MT_MOON_B2_F,97,3,11,11,0,1,16,one thin host script; standard list dispatches data rows,144,READY_TO_SERIALIZE,イベント件数はデータ行数。map object数は増えない。
KANTO_DUNGEON_POKEMON_MANSION_B1_F,97,62,6,6,0,1,5,one thin host script; standard list dispatches data rows,45,READY_TO_SERIALIZE,イベント件数はデータ行数。map object数は増えない。
KANTO_DUNGEON_POKEMON_TOWER_5_F,97,92,7,7,0,1,5,one thin host script; standard list dispatches data rows,45,READY_TO_SERIALIZE,イベント件数はデータ行数。map object数は増えない。
KANTO_DUNGEON_POWER_PLANT,97,95,8,8,0,2,13,one thin host script; standard list dispatches data rows,117,READY_TO_SERIALIZE,イベント件数はデータ行数。map object数は増えない。
KANTO_DUNGEON_SEAFOAM_ISLANDS_B4_F,97,87,4,4,0,2,15,one thin host script; standard list dispatches data rows,135,READY_TO_SERIALIZE,イベント件数はデータ行数。map object数は増えない。
KANTO_DUNGEON_SILPH_CO_7_F,97,53,11,11,0,1,11,one thin host script; standard list dispatches data rows,99,READY_TO_SERIALIZE,イベント件数はデータ行数。map object数は増えない。
KANTO_DUNGEON_VICTORY_ROAD_3_F,97,41,12,12,0,1,9,one thin host script; standard list dispatches data rows,81,READY_TO_SERIALIZE,イベント件数はデータ行数。map object数は増えない。
KANTO_DUNGEON_VIRIDIAN_FOREST,97,0,11,11,0,2,11,one thin host script; standard list dispatches data rows,99,READY_TO_SERIALIZE,イベント件数はデータ行数。map object数は増えない。
KANTO_INDOOR_CINNABAR_ISLAND_POKEMON_LAB_EXPERIMENT_ROOM,98,76,2,2,0,1,18,one thin host script; standard list dispatches data rows,162,READY_TO_SERIALIZE,イベント件数はデータ行数。map object数は増えない。
KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,8,8,0,1,24,one thin host script; standard list dispatches data rows,216,READY_TO_SERIALIZE,イベント件数はデータ行数。map object数は増えない。
KANTO_INDOOR_PALLET_TOWN_PROFESSOR_OAKS_LAB,98,3,10,10,0,2,45,one thin host script; standard list dispatches data rows,405,READY_TO_SERIALIZE,イベント件数はデータ行数。map object数は増えない。
KANTO_INDOOR_SAFFRON_CITY_DOJO,98,84,7,7,0,1,12,one thin host script; standard list dispatches data rows,108,READY_TO_SERIALIZE,イベント件数はデータ行数。map object数は増えない。
KANTO_INDOOR_SAFFRON_CITY_MR_PSYCHICS_HOUSE,98,90,1,1,0,1,2,one thin host script; standard list dispatches data rows,18,READY_TO_SERIALIZE,イベント件数はデータ行数。map object数は増えない。
KANTO_INDOOR_SAFFRON_CITY_POKEMON_CENTER_2_F,98,89,4,4,0,1,1,one thin host script; standard list dispatches data rows,9,READY_TO_SERIALIZE,イベント件数はデータ行数。map object数は増えない。
KANTO_OUTDOOR_CELADON_CITY,96,6,15,15,0,1,1,one thin host script; standard list dispatches data rows,9,READY_TO_SERIALIZE,イベント件数はデータ行数。map object数は増えない。
KANTO_OUTDOOR_INDIGO_PLATEAU_EXTERIOR,96,9,2,2,0,1,1,one thin host script; standard list dispatches data rows,9,READY_TO_SERIALIZE,イベント件数はデータ行数。map object数は増えない。
KANTO_OUTDOOR_ROUTE25,96,37,13,13,0,1,1,one thin host script; standard list dispatches data rows,9,READY_TO_SERIALIZE,イベント件数はデータ行数。map object数は増えない。
