target_national_no,target_species_key,target_name,source_species_key,source_target_status,official_or_design_condition,fallback_condition,supply_route_key,support_event_key,host_key,unlock_key,rtc_free,runtime_status,acceptance_test,notes
862,SPECIES_KEY_OBSTAGOON,タチフサグマ,SPECIES_KEY_LINOONE_G,REQUIRED_ENABLING_FORM,Lv.35以上＋夜,せいたいレーダーの夜固定,SUPPLY_REGIONAL_FORM_LINOONE_G,EVENT_EVOLUTION_SUPPORT_NATIONAL_0862,HOST_REGIONAL_NURSERY,UNLOCK_REGIONAL_NURSERY,yes,READY_TO_INTEGRATE,TEST_EVOLUTION_NATIONAL_0862_PRIMARY_AND_FALLBACK,fallbackは本来条件を無意味にせず、counter未対応・RTCなし時の詰みだけを防止。
863,SPECIES_KEY_PERRSERKER,ニャイキング,SPECIES_KEY_MEOWTH_G,REQUIRED_ENABLING_FORM,Lv.28以上,不要,SUPPLY_REGIONAL_FORM_MEOWTH_G,EVENT_EVOLUTION_SUPPORT_NATIONAL_0863,HOST_REGIONAL_NURSERY,UNLOCK_REGIONAL_NURSERY,yes,READY_TO_INTEGRATE,TEST_EVOLUTION_NATIONAL_0863_PRIMARY_AND_FALLBACK,fallbackは本来条件を無意味にせず、counter未対応・RTCなし時の詰みだけを防止。
864,SPECIES_KEY_CURSOLA,サニゴーン,SPECIES_KEY_CORSOLA_G,REQUIRED_ENABLING_FORM,Lv.38以上,不要,SUPPLY_REGIONAL_FORM_CORSOLA_G,EVENT_EVOLUTION_SUPPORT_NATIONAL_0864,HOST_REGIONAL_NURSERY,UNLOCK_REGIONAL_NURSERY,yes,READY_TO_INTEGRATE,TEST_EVOLUTION_NATIONAL_0864_PRIMARY_AND_FALLBACK,fallbackは本来条件を無意味にせず、counter未対応・RTCなし時の詰みだけを防止。
865,SPECIES_KEY_SIRFETCHD,ネギガナイト,SPECIES_KEY_FARFETCHD_G,REQUIRED_ENABLING_FORM,1戦中に急所3回,れんげきのあかしを使用,SUPPLY_REGIONAL_FORM_FARFETCHD_G,EVENT_EVOLUTION_SUPPORT_NATIONAL_0865,HOST_REGIONAL_NURSERY,UNLOCK_REGIONAL_NURSERY,yes,READY_TO_INTEGRATE,TEST_EVOLUTION_NATIONAL_0865_PRIMARY_AND_FALLBACK,fallbackは本来条件を無意味にせず、counter未対応・RTCなし時の詰みだけを防止。
866,SPECIES_KEY_MR_RIME,バリコオル,SPECIES_KEY_MR_MIME_G,REQUIRED_ENABLING_FORM,Lv.42以上,不要,SUPPLY_REGIONAL_FORM_MR_MIME_G,EVENT_EVOLUTION_SUPPORT_NATIONAL_0866,HOST_REGIONAL_NURSERY,UNLOCK_REGIONAL_NURSERY,yes,READY_TO_INTEGRATE,TEST_EVOLUTION_NATIONAL_0866_PRIMARY_AND_FALLBACK,fallbackは本来条件を無意味にせず、counter未対応・RTCなし時の詰みだけを防止。
867,SPECIES_KEY_RUNERIGUS,デスバーン,SPECIES_KEY_YAMASK_G,REQUIRED_ENABLING_FORM,累積49以上の被ダメージ後、指定場所でレベルアップ,われたせきばんを使用,SUPPLY_REGIONAL_FORM_YAMASK_G,EVENT_EVOLUTION_SUPPORT_NATIONAL_0867,HOST_REGIONAL_NURSERY,UNLOCK_REGIONAL_NURSERY,yes,READY_TO_INTEGRATE,TEST_EVOLUTION_NATIONAL_0867_PRIMARY_AND_FALLBACK,fallbackは本来条件を無意味にせず、counter未対応・RTCなし時の詰みだけを防止。
900,SPECIES_KEY_KLEAVOR,バサギリ,SPECIES_KEY_SCYTHER,REQUIRED_BASE,くろのきせき使用,化石調査所で反復供給,SUPPLY_BLACK_AUGURITE,EVENT_EVOLUTION_SUPPORT_NATIONAL_0900,HOST_REGIONAL_NURSERY,UNLOCK_REGIONAL_NURSERY,yes,READY_TO_INTEGRATE,TEST_EVOLUTION_NATIONAL_0900_PRIMARY_AND_FALLBACK,fallbackは本来条件を無意味にせず、counter未対応・RTCなし時の詰みだけを防止。
902,SPECIES_KEY_BASCULEGION_M,イダイトウ,SPECIES_KEY_BASCULIN_H,REQUIRED_ENABLING_FORM,反動ダメージ累計294以上,累計カウンタ表示＋研究員確認,SUPPLY_REGIONAL_FORM_BASCULIN_H,EVENT_EVOLUTION_SUPPORT_NATIONAL_0902,HOST_REGIONAL_NURSERY,UNLOCK_REGIONAL_NURSERY,yes,READY_TO_INTEGRATE,TEST_EVOLUTION_NATIONAL_0902_PRIMARY_AND_FALLBACK,fallbackは本来条件を無意味にせず、counter未対応・RTCなし時の詰みだけを防止。
903,SPECIES_KEY_SNEASLER,オオニューラ,SPECIES_KEY_SNEASEL_H,REQUIRED_ENABLING_FORM,昼にするどいツメ使用,せいたいレーダーの朝昼固定,SUPPLY_REGIONAL_FORM_SNEASEL_H,EVENT_EVOLUTION_SUPPORT_NATIONAL_0903,HOST_REGIONAL_NURSERY,UNLOCK_REGIONAL_NURSERY,yes,READY_TO_INTEGRATE,TEST_EVOLUTION_NATIONAL_0903_PRIMARY_AND_FALLBACK,fallbackは本来条件を無意味にせず、counter未対応・RTCなし時の詰みだけを防止。
904,SPECIES_KEY_OVERQWIL,ハリーマン,SPECIES_KEY_QWILFISH_H,REQUIRED_ENABLING_FORM,どくばりセンボンを20回使用後レベルアップ,技回数カウンタ表示＋技思い出し,SUPPLY_REGIONAL_FORM_QWILFISH_H,EVENT_EVOLUTION_SUPPORT_NATIONAL_0904,HOST_REGIONAL_NURSERY,UNLOCK_REGIONAL_NURSERY,yes,READY_TO_INTEGRATE,TEST_EVOLUTION_NATIONAL_0904_PRIMARY_AND_FALLBACK,fallbackは本来条件を無意味にせず、counter未対応・RTCなし時の詰みだけを防止。
980,SPECIES_KEY_CLODSIRE,ドオー,SPECIES_KEY_WOOPER_P,REQUIRED_ENABLING_FORM,Lv.20以上,不要,SUPPLY_REGIONAL_FORM_WOOPER_P,EVENT_EVOLUTION_SUPPORT_NATIONAL_0980,HOST_REGIONAL_NURSERY,UNLOCK_REGIONAL_NURSERY,yes,READY_TO_INTEGRATE,TEST_EVOLUTION_NATIONAL_0980_PRIMARY_AND_FALLBACK,fallbackは本来条件を無意味にせず、counter未対応・RTCなし時の詰みだけを防止。
981,SPECIES_KEY_FARIGIRAF,リキキリン,SPECIES_KEY_GIRAFARIG,REQUIRED_BASE,ツインビーム習得後レベルアップ,条件技教えNPC,SUPPLY_MOVE_TWIN_BEAM,EVENT_EVOLUTION_SUPPORT_NATIONAL_0981,HOST_MOVE_TUTOR,UNLOCK_MOVE_CONDITION_TUTOR,yes,READY_TO_INTEGRATE,TEST_EVOLUTION_NATIONAL_0981_PRIMARY_AND_FALLBACK,fallbackは本来条件を無意味にせず、counter未対応・RTCなし時の詰みだけを防止。
982,SPECIES_KEY_DUDUNSPARCE,ノココッチ,SPECIES_KEY_DUNSPARCE,REQUIRED_BASE,ハイパードリル習得後レベルアップ,条件技教えNPC,SUPPLY_MOVE_HYPER_DRILL,EVENT_EVOLUTION_SUPPORT_NATIONAL_0982,HOST_MOVE_TUTOR,UNLOCK_MOVE_CONDITION_TUTOR,yes,READY_TO_INTEGRATE,TEST_EVOLUTION_NATIONAL_0982_PRIMARY_AND_FALLBACK,fallbackは本来条件を無意味にせず、counter未対応・RTCなし時の詰みだけを防止。
