route_key,prerequisite_kind,prerequisite_key,edge_status,evidence
ROUTE_0001_VEGA_001,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/64:VEGA_NATIVE:LAND:Lv5-25
ROUTE_0001_VEGA_001,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0002_VEGA_002,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 1; evolution root 0x09F79290
ROUTE_0002_VEGA_002,SPECIES,SPECIES_KEY_VEGA_001,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 1; evolution root 0x09F79290
ROUTE_0002_VEGA_002,RUNTIME,EVOLUTION,ACTIVE,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED
ROUTE_0003_VEGA_003,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 2; evolution root 0x09F79290
ROUTE_0003_VEGA_003,SPECIES,SPECIES_KEY_VEGA_002,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 2; evolution root 0x09F79290
ROUTE_0003_VEGA_003,RUNTIME,EVOLUTION,ACTIVE,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED
ROUTE_0004_VEGA_004,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/64:VEGA_NATIVE:LAND:Lv5-25
ROUTE_0004_VEGA_004,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0005_VEGA_005,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 4; evolution root 0x09F79290
ROUTE_0005_VEGA_005,SPECIES,SPECIES_KEY_VEGA_004,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 4; evolution root 0x09F79290
ROUTE_0005_VEGA_005,RUNTIME,EVOLUTION,ACTIVE,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED
ROUTE_0006_VEGA_006,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 5; evolution root 0x09F79290
ROUTE_0006_VEGA_006,SPECIES,SPECIES_KEY_VEGA_005,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 5; evolution root 0x09F79290
ROUTE_0006_VEGA_006,RUNTIME,EVOLUTION,ACTIVE,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED
