national_no,species_key,canonical_id,display_name,group,vega_existing,source_event_arc,new_event_arc,event_key,host_key,entry_type,prerequisite_species_key,capture_level,unlock_key,condition_expression,shared_capture_key,repeatability,defeat_escape_policy,party_box_policy,current_rom_evidence,primary_route_policy,physical_status,runtime_status,dialogue_key,acceptance_test_prefix,notes
144,SPECIES_KEY_ARTICUNO,136,フリーザー,伝説,yes,ベガ既存イベント保持,ARC_LEGACY_GUARDIANS,EVENT_SPECIAL_NATIONAL_0144,HOST_ICONIC_ARTICUNO,CAPTURE,,70,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),SHARED_CAPTURE_KEY_NATIONAL_0144,原則1回／救済再戦あり,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EXACT_WILD_OR_ECOLOGY:ROM_WILD:96/3:K43:LAND:Lv95-100; ROM_WILD:96/3:K43:WATER:Lv95-100; ROM_WILD:97/72:K43:LAND:Lv95-100; ROM_WILD:97/72:K43:WATER:Lv95-100; ROM_WILD:97/73:K43:LAND:Lv95-100; ROM_WILD:97/73:K43:WATER:Lv95-100; ROM_WILD:97/74:K43:LAND:Lv95-100; ROM_WILD:97/74:K43:WATER:Lv95-100,LEGACY_PRIMARY_KANTO_RESCUE,READY_TO_SERIALIZE,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0144,TEST_EVENT_SPECIAL_NATIONAL_0144,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
145,SPECIES_KEY_ZAPDOS,137,サンダー,伝説,yes,ベガ既存イベント保持,ARC_LEGACY_GUARDIANS,EVENT_SPECIAL_NATIONAL_0145,HOST_ICONIC_ZAPDOS,CAPTURE,,70,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),SHARED_CAPTURE_KEY_NATIONAL_0145,原則1回／救済再戦あり,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EXACT_WILD_OR_ECOLOGY:ROM_WILD:96/3:K43:LAND:Lv95-100; ROM_WILD:96/3:K43:ROCK:Lv95-100; ROM_WILD:96/3:K43:WATER:Lv95-100; ROM_WILD:97/72:K43:LAND:Lv95-100; ROM_WILD:97/72:K43:ROCK:Lv95-100; ROM_WILD:97/72:K43:WATER:Lv95-100; ROM_WILD:97/73:K43:LAND:Lv95-100; ROM_WILD:97/73:K43:ROCK:Lv95-100; ROM_WILD:97/73:K43:WATER:Lv95-100; ROM_WILD:97/74:K43:LAND:Lv95-100; ROM_WILD:97/74:K43:ROCK:Lv95-100; ROM_WILD:97/74:K43:WATER:Lv95-100,LEGACY_PRIMARY_KANTO_RESCUE,READY_TO_SERIALIZE,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0145,TEST_EVENT_SPECIAL_NATIONAL_0145,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
146,SPECIES_KEY_MOLTRES,138,ファイヤー,伝説,yes,ベガ既存イベント保持,ARC_LEGACY_GUARDIANS,EVENT_SPECIAL_NATIONAL_0146,HOST_LEGACY_ARCHIVE,CAPTURE,,70,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),SHARED_CAPTURE_KEY_NATIONAL_0146,原則1回／救済再戦あり,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EXACT_WILD_OR_ECOLOGY:ROM_WILD:96/3:K43:FISHING:Lv95-100; ROM_WILD:96/3:K43:LAND:Lv95-100; ROM_WILD:96/3:K43:ROCK:Lv95-100; ROM_WILD:96/3:K43:WATER:Lv95-100; ROM_WILD:97/72:K43:FISHING:Lv95-100; ROM_WILD:97/72:K43:LAND:Lv95-100; ROM_WILD:97/72:K43:ROCK:Lv95-100; ROM_WILD:97/72:K43:WATER:Lv95-100; ROM_WILD:97/73:K43:FISHING:Lv95-100; ROM_WILD:97/73:K43:LAND:Lv95-100; ROM_WILD:97/73:K43:ROCK:Lv95-100; ROM_WILD:97/73:K43:WATER:Lv95-100; ROM_WILD:97/74:K43:FISHING:Lv95-100; ROM_WILD:97/74:K43:LAND:Lv95-100; ROM_WILD:97/74:K43:ROCK:Lv95-100; ROM_WILD:97/74:K43:WATER:Lv95-100,LEGACY_PRIMARY_KANTO_RESCUE,READY_TO_SERIALIZE,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0146,TEST_EVENT_SPECIAL_NATIONAL_0146,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
150,SPECIES_KEY_MEWTWO,150,ミュウツー,伝説,yes,ベガ既存イベント保持,ARC_LEGACY_GUARDIANS,EVENT_SPECIAL_NATIONAL_0150,HOST_ICONIC_MEWTWO,CAPTURE,,70,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),SHARED_CAPTURE_KEY_NATIONAL_0150,原則1回／救済再戦あり,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EXACT_WILD_OR_ECOLOGY:ROM_WILD:96/3:K43:FISHING:Lv95-100; ROM_WILD:96/3:K43:LAND:Lv95-100; ROM_WILD:96/3:K43:ROCK:Lv95-100; ROM_WILD:96/3:K43:WATER:Lv95-100; ROM_WILD:97/72:K43:FISHING:Lv95-100; ROM_WILD:97/72:K43:LAND:Lv95-100; ROM_WILD:97/72:K43:ROCK:Lv95-100; ROM_WILD:97/72:K43:WATER:Lv95-100; ROM_WILD:97/73:K43:FISHING:Lv95-100; ROM_WILD:97/73:K43:LAND:Lv95-100; ROM_WILD:97/73:K43:ROCK:Lv95-100; ROM_WILD:97/73:K43:WATER:Lv95-100; ROM_WILD:97/74:K43:FISHING:Lv95-100; ROM_WILD:97/74:K43:LAND:Lv95-100; ROM_WILD:97/74:K43:ROCK:Lv95-100; ROM_WILD:97/74:K43:WATER:Lv95-100,LEGACY_PRIMARY_KANTO_RESCUE,READY_TO_SERIALIZE,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0150,TEST_EVENT_SPECIAL_NATIONAL_0150,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
151,SPECIES_KEY_MEW,151,ミュウ,幻,yes,ベガ既存イベント保持,ARC_LEGACY_GUARDIANS,EVENT_SPECIAL_NATIONAL_0151,HOST_LEGACY_ARCHIVE,CAPTURE,,70,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),SHARED_CAPTURE_KEY_NATIONAL_0151,原則1回／救済再戦あり,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EXACT_WILD_OR_ECOLOGY:ROM_WILD:96/3:K43:FISHING:Lv95-100; ROM_WILD:96/3:K43:LAND:Lv95-100; ROM_WILD:96/3:K43:ROCK:Lv95-100; ROM_WILD:96/3:K43:WATER:Lv95-100; ROM_WILD:97/72:K43:FISHING:Lv95-100; ROM_WILD:97/72:K43:LAND:Lv95-100; ROM_WILD:97/72:K43:ROCK:Lv95-100; ROM_WILD:97/72:K43:WATER:Lv95-100; ROM_WILD:97/73:K43:FISHING:Lv95-100; ROM_WILD:97/73:K43:LAND:Lv95-100; ROM_WILD:97/73:K43:ROCK:Lv95-100; ROM_WILD:97/73:K43:WATER:Lv95-100; ROM_WILD:97/74:K43:FISHING:Lv95-100; ROM_WILD:97/74:K43:LAND:Lv95-100; ROM_WILD:97/74:K43:ROCK:Lv95-100; ROM_WILD:97/74:K43:WATER:Lv95-100,LEGACY_PRIMARY_KANTO_RESCUE,READY_TO_SERIALIZE,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0151,TEST_EVENT_SPECIAL_NATIONAL_0151,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
243,SPECIES_KEY_RAIKOU,139,ライコウ,伝説,yes,ベガ既存イベント保持,ARC_LEGACY_GUARDIANS,EVENT_SPECIAL_NATIONAL_0243,HOST_LEGACY_ARCHIVE,CAPTURE,,70,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),SHARED_CAPTURE_KEY_NATIONAL_0243,原則1回／救済再戦あり,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EXACT_WILD_OR_ECOLOGY:ROM_WILD:96/3:K43:FISHING:Lv95-100; ROM_WILD:96/3:K43:LAND:Lv95-100; ROM_WILD:96/3:K43:ROCK:Lv95-100; ROM_WILD:97/72:K43:FISHING:Lv95-100; ROM_WILD:97/72:K43:LAND:Lv95-100; ROM_WILD:97/72:K43:ROCK:Lv95-100; ROM_WILD:97/73:K43:FISHING:Lv95-100; ROM_WILD:97/73:K43:LAND:Lv95-100; ROM_WILD:97/73:K43:ROCK:Lv95-100; ROM_WILD:97/74:K43:FISHING:Lv95-100; ROM_WILD:97/74:K43:LAND:Lv95-100; ROM_WILD:97/74:K43:ROCK:Lv95-100,LEGACY_PRIMARY_KANTO_RESCUE,READY_TO_SERIALIZE,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0243,TEST_EVENT_SPECIAL_NATIONAL_0243,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
244,SPECIES_KEY_ENTEI,140,エンテイ,伝説,yes,ベガ既存イベント保持,ARC_LEGACY_GUARDIANS,EVENT_SPECIAL_NATIONAL_0244,HOST_LEGACY_ARCHIVE,CAPTURE,,70,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),SHARED_CAPTURE_KEY_NATIONAL_0244,原則1回／救済再戦あり,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EXACT_WILD_OR_ECOLOGY:ROM_WILD:96/3:K43:FISHING:Lv95-100; ROM_WILD:96/3:K43:LAND:Lv95-100; ROM_WILD:97/72:K43:FISHING:Lv95-100; ROM_WILD:97/72:K43:LAND:Lv95-100; ROM_WILD:97/73:K43:FISHING:Lv95-100; ROM_WILD:97/73:K43:LAND:Lv95-100; ROM_WILD:97/74:K43:FISHING:Lv95-100; ROM_WILD:97/74:K43:LAND:Lv95-100,LEGACY_PRIMARY_KANTO_RESCUE,READY_TO_SERIALIZE,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0244,TEST_EVENT_SPECIAL_NATIONAL_0244,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
245,SPECIES_KEY_SUICUNE,141,スイクン,伝説,yes,ベガ既存イベント保持,ARC_LEGACY_GUARDIANS,EVENT_SPECIAL_NATIONAL_0245,HOST_LEGACY_ARCHIVE,CAPTURE,,70,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),SHARED_CAPTURE_KEY_NATIONAL_0245,原則1回／救済再戦あり,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EXACT_WILD_OR_ECOLOGY:ROM_WILD:96/3:K43:FISHING:Lv95-100; ROM_WILD:96/3:K43:LAND:Lv95-100; ROM_WILD:97/72:K43:FISHING:Lv95-100; ROM_WILD:97/72:K43:LAND:Lv95-100; ROM_WILD:97/73:K43:FISHING:Lv95-100; ROM_WILD:97/73:K43:LAND:Lv95-100; ROM_WILD:97/74:K43:FISHING:Lv95-100; ROM_WILD:97/74:K43:LAND:Lv95-100,LEGACY_PRIMARY_KANTO_RESCUE,READY_TO_SERIALIZE,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0245,TEST_EVENT_SPECIAL_NATIONAL_0245,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
249,SPECIES_KEY_LUGIA,148,ルギア,伝説,yes,ベガ既存イベント保持,ARC_LEGACY_GUARDIANS,EVENT_SPECIAL_NATIONAL_0249,HOST_LEGACY_ARCHIVE,CAPTURE,,70,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),SHARED_CAPTURE_KEY_NATIONAL_0249,原則1回／救済再戦あり,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EXACT_WILD_OR_ECOLOGY:ROM_WILD:96/3:K43:FISHING:Lv95-100; ROM_WILD:96/3:K43:LAND:Lv95-100; ROM_WILD:97/72:K43:FISHING:Lv95-100; ROM_WILD:97/72:K43:LAND:Lv95-100; ROM_WILD:97/73:K43:FISHING:Lv95-100; ROM_WILD:97/73:K43:LAND:Lv95-100; ROM_WILD:97/74:K43:FISHING:Lv95-100; ROM_WILD:97/74:K43:LAND:Lv95-100,LEGACY_PRIMARY_KANTO_RESCUE,READY_TO_SERIALIZE,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0249,TEST_EVENT_SPECIAL_NATIONAL_0249,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
250,SPECIES_KEY_HO_OH,149,ホウオウ,伝説,yes,ベガ既存イベント保持,ARC_LEGACY_GUARDIANS,EVENT_SPECIAL_NATIONAL_0250,HOST_LEGACY_ARCHIVE,CAPTURE,,70,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),SHARED_CAPTURE_KEY_NATIONAL_0250,原則1回／救済再戦あり,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EXACT_WILD_OR_ECOLOGY:ROM_WILD:96/3:K43:FISHING:Lv95-100; ROM_WILD:96/3:K43:LAND:Lv95-100; ROM_WILD:97/72:K43:FISHING:Lv95-100; ROM_WILD:97/72:K43:LAND:Lv95-100; ROM_WILD:97/73:K43:FISHING:Lv95-100; ROM_WILD:97/73:K43:LAND:Lv95-100; ROM_WILD:97/74:K43:FISHING:Lv95-100; ROM_WILD:97/74:K43:LAND:Lv95-100,LEGACY_PRIMARY_KANTO_RESCUE,READY_TO_SERIALIZE,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0250,TEST_EVENT_SPECIAL_NATIONAL_0250,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
