collection_key,species_key,canonical_id,display_name,target_status,primary_route_key,fallback_route_key,region,logical_location_key,physical_map_key,group_id,map_id,host_kind,host_key,host_local_id_or_bg_index,x,y,elevation,method,method_detail,prerequisite_species_key,unlock_key,level_or_egg,repeatability,missable_policy,defeat_policy,party_full_policy,box_full_policy,rtc_fallback,shared_capture_key,runtime_status,physical_status,evidence,implementation_priority,notes
COLLECTION_CATALOG_0000,SPECIES_KEY_NONE,0,？？？？？,INTERNAL_EXCLUDED,ROUTE_0000_NONE,,,,,,,,,,,,,EXCLUDED,ID 0 / NONE,,,,NOT_REQUIRED,,,,,,,NOT_IN_COLLECTION_TARGET,NOT_APPLICABLE,snapshot/manifests/species_ids.csv,OUT_OF_SCOPE,registryには残すがroute graphと完成数から除外。
COLLECTION_VEGA_0001,SPECIES_KEY_VEGA_001,1,リープン,REQUIRED_VEGA_ORIGINAL,ROUTE_0001_VEGA_001,FALLBACK_DIRECT_0001,TOHOKU,VEGA_NATIVE,VEGA_PHYSICAL_01_064,1,64,WILD_HEADER,,,,,,WILD_TABLE,LAND,,UNLOCK_EXISTING_MAP_PROGRESSION,Lv.5-25,REPEATABLE_WILD,NON_MISSABLE,normal wild encounter,normal capture storage,normal capture failure/no duplicate,ecology radar fixed mode when source condition is time-based,,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:1/64:VEGA_NATIVE:LAND:Lv5-25,P2,other verified sources: ROM_WILD:1/64:VEGA_NATIVE:LAND:Lv25-45
COLLECTION_VEGA_0002,SPECIES_KEY_VEGA_002,2,リーティン,REQUIRED_VEGA_ORIGINAL,ROUTE_0002_VEGA_002,,GLOBAL,GLOBAL_EVOLUTION,,,,EVOLUTION_ENGINE,,,,,,EVOLUTION,exact ROM evolution edge; trigger and supply require audit,SPECIES_KEY_VEGA_001,UNLOCK_EVOLUTION_GLOBAL,exact ROM evolution edge; trigger and supply require audit,REPEATABLE_WHILE_SOURCE_AVAILABLE,NON_MISSABLE_IF_SUPPLY_VALIDATED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,audit evolution_supply_routes.csv,,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,GLOBAL_RUNTIME,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 1; evolution root 0x09F79290,P1,edge存在だけを完全入手扱いしない。全条件供給のexact-ROM試験が必要。
COLLECTION_VEGA_0003,SPECIES_KEY_VEGA_003,3,リーテイル,REQUIRED_VEGA_ORIGINAL,ROUTE_0003_VEGA_003,,GLOBAL,GLOBAL_EVOLUTION,,,,EVOLUTION_ENGINE,,,,,,EVOLUTION,exact ROM evolution edge; trigger and supply require audit,SPECIES_KEY_VEGA_002,UNLOCK_EVOLUTION_GLOBAL,exact ROM evolution edge; trigger and supply require audit,REPEATABLE_WHILE_SOURCE_AVAILABLE,NON_MISSABLE_IF_SUPPLY_VALIDATED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,audit evolution_supply_routes.csv,,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,GLOBAL_RUNTIME,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 2; evolution root 0x09F79290,P1,edge存在だけを完全入手扱いしない。全条件供給のexact-ROM試験が必要。
COLLECTION_VEGA_0004,SPECIES_KEY_VEGA_004,4,ファマー,REQUIRED_VEGA_ORIGINAL,ROUTE_0004_VEGA_004,FALLBACK_DIRECT_0004,TOHOKU,VEGA_NATIVE,VEGA_PHYSICAL_01_064,1,64,WILD_HEADER,,,,,,WILD_TABLE,LAND,,UNLOCK_EXISTING_MAP_PROGRESSION,Lv.5-25,REPEATABLE_WILD,NON_MISSABLE,normal wild encounter,normal capture storage,normal capture failure/no duplicate,ecology radar fixed mode when source condition is time-based,,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:1/64:VEGA_NATIVE:LAND:Lv5-25,P2,other verified sources: ROM_WILD:1/64:VEGA_NATIVE:LAND:Lv25-45
COLLECTION_VEGA_0005,SPECIES_KEY_VEGA_005,5,ファイマー,REQUIRED_VEGA_ORIGINAL,ROUTE_0005_VEGA_005,,GLOBAL,GLOBAL_EVOLUTION,,,,EVOLUTION_ENGINE,,,,,,EVOLUTION,exact ROM evolution edge; trigger and supply require audit,SPECIES_KEY_VEGA_004,UNLOCK_EVOLUTION_GLOBAL,exact ROM evolution edge; trigger and supply require audit,REPEATABLE_WHILE_SOURCE_AVAILABLE,NON_MISSABLE_IF_SUPPLY_VALIDATED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,audit evolution_supply_routes.csv,,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,GLOBAL_RUNTIME,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 4; evolution root 0x09F79290,P1,edge存在だけを完全入手扱いしない。全条件供給のexact-ROM試験が必要。
COLLECTION_VEGA_0006,SPECIES_KEY_VEGA_006,6,ファマイン,REQUIRED_VEGA_ORIGINAL,ROUTE_0006_VEGA_006,,GLOBAL,GLOBAL_EVOLUTION,,,,EVOLUTION_ENGINE,,,,,,EVOLUTION,exact ROM evolution edge; trigger and supply require audit,SPECIES_KEY_VEGA_005,UNLOCK_EVOLUTION_GLOBAL,exact ROM evolution edge; trigger and supply require audit,REPEATABLE_WHILE_SOURCE_AVAILABLE,NON_MISSABLE_IF_SUPPLY_VALIDATED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,audit evolution_supply_routes.csv,,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,GLOBAL_RUNTIME,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 5; evolution root 0x09F79290,P1,edge存在だけを完全入手扱いしない。全条件供給のexact-ROM試験が必要。
COLLECTION_VEGA_0007,SPECIES_KEY_VEGA_007,7,アクタシ,REQUIRED_VEGA_ORIGINAL,ROUTE_0007_VEGA_007,FALLBACK_DIRECT_0007,TOHOKU,VEGA_NATIVE,VEGA_PHYSICAL_01_064,1,64,WILD_HEADER,,,,,,WILD_TABLE,WATER,,UNLOCK_EXISTING_MAP_PROGRESSION,Lv.5-25,REPEATABLE_WILD,NON_MISSABLE,normal wild encounter,normal capture storage,normal capture failure/no duplicate,ecology radar fixed mode when source condition is time-based,,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:1/64:VEGA_NATIVE:WATER:Lv5-25,P2,other verified sources: ROM_WILD:1/64:VEGA_NATIVE:WATER:Lv25-45
COLLECTION_VEGA_0008,SPECIES_KEY_VEGA_008,8,レクオレ,REQUIRED_VEGA_ORIGINAL,ROUTE_0008_VEGA_008,,GLOBAL,GLOBAL_EVOLUTION,,,,EVOLUTION_ENGINE,,,,,,EVOLUTION,exact ROM evolution edge; trigger and supply require audit,SPECIES_KEY_VEGA_007,UNLOCK_EVOLUTION_GLOBAL,exact ROM evolution edge; trigger and supply require audit,REPEATABLE_WHILE_SOURCE_AVAILABLE,NON_MISSABLE_IF_SUPPLY_VALIDATED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,audit evolution_supply_routes.csv,,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,GLOBAL_RUNTIME,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 7; evolution root 0x09F79290,P1,edge存在だけを完全入手扱いしない。全条件供給のexact-ROM試験が必要。
COLLECTION_VEGA_0009,SPECIES_KEY_VEGA_009,9,タテボーシ,REQUIRED_VEGA_ORIGINAL,ROUTE_0009_VEGA_009,,GLOBAL,GLOBAL_EVOLUTION,,,,EVOLUTION_ENGINE,,,,,,EVOLUTION,exact ROM evolution edge; trigger and supply require audit,SPECIES_KEY_VEGA_008,UNLOCK_EVOLUTION_GLOBAL,exact ROM evolution edge; trigger and supply require audit,REPEATABLE_WHILE_SOURCE_AVAILABLE,NON_MISSABLE_IF_SUPPLY_VALIDATED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,audit evolution_supply_routes.csv,,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,GLOBAL_RUNTIME,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 8; evolution root 0x09F79290,P1,edge存在だけを完全入手扱いしない。全条件供給のexact-ROM試験が必要。
