slot_key,generation,species_key,canonical_id,national_no,display_name,host_key,method,claim_policy,unlock_key,shared_claim_key,egg_destination_policy,repeatability,current_runtime_status,implementation_status,notes
STARTER_LAB_NATIONAL_0152,2,SPECIES_KEY_CHIKORITA,495,152,チコリータ,HOST_STARTER_LAB,RESEARCH_EGG,BACKUP_REGISTERED_ONLY,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0152,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,WILD_SLOT_CURRENTLY_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0155,2,SPECIES_KEY_CYNDAQUIL,498,155,ヒノアラシ,HOST_STARTER_LAB,RESEARCH_EGG,BACKUP_REGISTERED_ONLY,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0155,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,WILD_SLOT_CURRENTLY_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0158,2,SPECIES_KEY_TOTODILE,501,158,ワニノコ,HOST_STARTER_LAB,RESEARCH_EGG,BACKUP_REGISTERED_ONLY,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0158,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,WILD_SLOT_CURRENTLY_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0252,3,SPECIES_KEY_TREECKO,553,252,キモリ,HOST_STARTER_LAB,RESEARCH_EGG,BACKUP_REGISTERED_ONLY,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0252,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,WILD_SLOT_CURRENTLY_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0255,3,SPECIES_KEY_TORCHIC,556,255,アチャモ,HOST_STARTER_LAB,RESEARCH_EGG,BACKUP_REGISTERED_ONLY,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0255,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,WILD_SLOT_CURRENTLY_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0258,3,SPECIES_KEY_MUDKIP,559,258,ミズゴロウ,HOST_STARTER_LAB,RESEARCH_EGG,BACKUP_REGISTERED_ONLY,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0258,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,WILD_SLOT_CURRENTLY_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0387,4,SPECIES_KEY_TURTWIG,677,387,ナエトル,HOST_STARTER_LAB,RESEARCH_EGG,BACKUP_REGISTERED_ONLY,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0387,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,WILD_SLOT_CURRENTLY_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0390,4,SPECIES_KEY_CHIMCHAR,680,390,ヒコザル,HOST_STARTER_LAB,RESEARCH_EGG,BACKUP_REGISTERED_ONLY,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0390,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,WILD_SLOT_CURRENTLY_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0393,4,SPECIES_KEY_PIPLUP,683,393,ポッチャマ,HOST_STARTER_LAB,RESEARCH_EGG,BACKUP_REGISTERED_ONLY,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0393,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,WILD_SLOT_CURRENTLY_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0495,5,SPECIES_KEY_SNIVY,752,495,ツタージャ,HOST_STARTER_LAB,RESEARCH_EGG,BACKUP_REGISTERED_ONLY,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0495,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,WILD_SLOT_CURRENTLY_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0498,5,SPECIES_KEY_TEPIG,755,498,ポカブ,HOST_STARTER_LAB,RESEARCH_EGG,BACKUP_REGISTERED_ONLY,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0498,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,WILD_SLOT_CURRENTLY_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
