slot_key,generation,species_key,canonical_id,national_no,display_name,host_key,method,claim_policy,unlock_key,shared_claim_key,egg_destination_policy,repeatability,current_runtime_status,implementation_status,notes
STARTER_LAB_NATIONAL_0653,6,SPECIES_KEY_FENNEKIN,942,653,フォッコ,HOST_STARTER_LAB,RESEARCH_EGG,PRIMARY_REQUIRED,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0653,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,LAB_EVENT_NOT_CONNECTED_AND_NOT_WILD_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0656,6,SPECIES_KEY_FROAKIE,945,656,ケロマツ,HOST_STARTER_LAB,RESEARCH_EGG,PRIMARY_REQUIRED,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0656,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,LAB_EVENT_NOT_CONNECTED_AND_NOT_WILD_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0722,7,SPECIES_KEY_ROWLET,1120,722,モクロー,HOST_STARTER_LAB,RESEARCH_EGG,PRIMARY_REQUIRED,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0722,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,LAB_EVENT_NOT_CONNECTED_AND_NOT_WILD_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0725,7,SPECIES_KEY_LITTEN,1123,725,ニャビー,HOST_STARTER_LAB,RESEARCH_EGG,PRIMARY_REQUIRED,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0725,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,LAB_EVENT_NOT_CONNECTED_AND_NOT_WILD_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0728,7,SPECIES_KEY_POPPLIO,1126,728,アシマリ,HOST_STARTER_LAB,RESEARCH_EGG,PRIMARY_REQUIRED,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0728,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,LAB_EVENT_NOT_CONNECTED_AND_NOT_WILD_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0810,8,SPECIES_KEY_GROOKEY,1283,810,サルノリ,HOST_STARTER_LAB,RESEARCH_EGG,PRIMARY_REQUIRED,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0810,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,LAB_EVENT_NOT_CONNECTED_AND_NOT_WILD_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0813,8,SPECIES_KEY_SCORBUNNY,1286,813,ヒバニー,HOST_STARTER_LAB,RESEARCH_EGG,PRIMARY_REQUIRED,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0813,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,LAB_EVENT_NOT_CONNECTED_AND_NOT_WILD_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0816,8,SPECIES_KEY_SOBBLE,1289,816,メッソン,HOST_STARTER_LAB,RESEARCH_EGG,PRIMARY_REQUIRED,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0816,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,LAB_EVENT_NOT_CONNECTED_AND_NOT_WILD_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0906,9,SPECIES_KEY_SPRIGATITO,1475,906,ニャオハ,HOST_STARTER_LAB,RESEARCH_EGG,PRIMARY_REQUIRED,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0906,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,LAB_EVENT_NOT_CONNECTED_AND_NOT_WILD_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0909,9,SPECIES_KEY_FUECOCO,1478,909,ホゲータ,HOST_STARTER_LAB,RESEARCH_EGG,PRIMARY_REQUIRED,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0909,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,LAB_EVENT_NOT_CONNECTED_AND_NOT_WILD_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
STARTER_LAB_NATIONAL_0912,9,SPECIES_KEY_QUAXLY,1481,912,クワッス,HOST_STARTER_LAB,RESEARCH_EGG,PRIMARY_REQUIRED,UNLOCK_KANTO_EARLY_ACCESS,CLAIM_STARTER_NATIONAL_0912,PARTY_THEN_PC_THEN_SHARED_EGG_QUEUE; no commit when all full,ONCE_PER_SPECIES; cancel/reset/full are non-consuming,LAB_EVENT_NOT_CONNECTED_AND_NOT_WILD_REACHABLE,READY_TO_INTEGRATE,同世代を標準listで選ぶ。既に捕獲済みのbackup枠は重複救済のみ。
