trade_alt_key,evolution_id,from_national_no,from_species_key,from_name,to_national_no,to_species_key,to_name,official_condition,single_rom_condition,required_held_item_or_partner,service_event_key,host_key,repeatability,runtime_status,validation_notes
TRADE_ALT_EVOLUTION_0041,41,64,SPECIES_KEY_KADABRA,ユンゲラー,65,SPECIES_KEY_ALAKAZAM,フーディン,通信交換,「つながりのヒモ」を使用。通信交換でも従来通り進化。,ITEM_KEY_LINKING_CORD,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0043,43,67,SPECIES_KEY_MACHOKE,ゴーリキー,68,SPECIES_KEY_MACHAMP,カイリキー,通信交換,「つながりのヒモ」を使用。通信交換でも従来通り進化。,ITEM_KEY_LINKING_CORD,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0048,48,75,SPECIES_KEY_GRAVELER,ゴローン,76,SPECIES_KEY_GOLEM,ゴローニャ,通信交換,「つながりのヒモ」を使用。通信交換でも従来通り進化。,ITEM_KEY_LINKING_CORD,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0057,57,93,SPECIES_KEY_HAUNTER,ゴースト,94,SPECIES_KEY_GENGAR,ゲンガー,通信交換,「つながりのヒモ」を使用。通信交換でも従来通り進化。,ITEM_KEY_LINKING_CORD,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0104,104,61,SPECIES_KEY_POLIWHIRL,ニョロゾ,186,SPECIES_KEY_POLITOED,ニョロトノ,通信交換＋おうじゃのしるしを持たせる,おうじゃのしるしを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,おうじゃのしるし,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0111,111,79,SPECIES_KEY_SLOWPOKE,ヤドン,199,SPECIES_KEY_SLOWKING,ヤドキング,通信交換＋おうじゃのしるしを持たせる,おうじゃのしるしを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,おうじゃのしるし,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0114,114,95,SPECIES_KEY_ONIX,イワーク,208,SPECIES_KEY_STEELIX,ハガネール,通信交換＋メタルコートを持たせる,メタルコートを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,メタルコート,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0116,116,123,SPECIES_KEY_SCYTHER,ストライク,212,SPECIES_KEY_SCIZOR,ハッサム,通信交換＋メタルコートを持たせる,メタルコートを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,メタルコート,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0123,123,117,SPECIES_KEY_SEADRA,シードラ,230,SPECIES_KEY_KINGDRA,キングドラ,通信交換＋りゅうのウロコを持たせる,りゅうのウロコを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,りゅうのウロコ,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0125,125,137,SPECIES_KEY_PORYGON,ポリゴン,233,SPECIES_KEY_PORYGON2,ポリゴン２,通信交換＋アップグレードを持たせる,アップグレードを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,アップグレード,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0186,186,366,SPECIES_KEY_CLAMPERL,パールル,367,SPECIES_KEY_HUNTAIL,ハンテール,通信交換＋しんかいのキバを持たせる,しんかいのキバを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,しんかいのキバ,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0187,187,366,SPECIES_KEY_CLAMPERL,パールル,368,SPECIES_KEY_GOREBYSS,サクラビス,通信交換＋しんかいのウロコを持たせる,しんかいのウロコを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,しんかいのウロコ,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0232,232,112,SPECIES_KEY_RHYDON,サイドン,464,SPECIES_KEY_RHYPERIOR,ドサイドン,通信交換＋プロテクターを持たせる,プロテクターを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,プロテクター,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0234,234,125,SPECIES_KEY_ELECTABUZZ,エレブー,466,SPECIES_KEY_ELECTIVIRE,エレキブル,通信交換＋エレキブースターを持たせる,エレキブースターを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,エレキブースター,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0235,235,126,SPECIES_KEY_MAGMAR,ブーバー,467,SPECIES_KEY_MAGMORTAR,ブーバーン,通信交換＋マグマブースターを持たせる,マグマブースターを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,マグマブースター,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0242,242,233,SPECIES_KEY_PORYGON2,ポリゴン２,474,SPECIES_KEY_PORYGON_Z,ポリゴンＺ,通信交換＋あやしいパッチを持たせる,あやしいパッチを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,あやしいパッチ,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0245,245,356,SPECIES_KEY_DUSCLOPS,サマヨール,477,SPECIES_KEY_DUSKNOIR,ヨノワール,通信交換＋れいかいのぬのを持たせる,れいかいのぬのを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,れいかいのぬの,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0265,265,525,SPECIES_KEY_BOLDORE,ガントル,526,SPECIES_KEY_GIGALITH,ギガイアス,通信交換,「つながりのヒモ」を使用。通信交換でも従来通り進化。,ITEM_KEY_LINKING_CORD,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0269,269,533,SPECIES_KEY_GURDURR,ドテッコツ,534,SPECIES_KEY_CONKELDURR,ローブシン,通信交換,「つながりのヒモ」を使用。通信交換でも従来通り進化。,ITEM_KEY_LINKING_CORD,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0297,297,588,SPECIES_KEY_KARRABLAST,カブルモ,589,SPECIES_KEY_ESCAVALIER,シュバルゴ,通信交換＋チョボマキと交換,指定交換は残すが、図鑑完成用にハクジ研究所の「交換シミュレータ」でも進化可能。,SPECIES_KEY_SHELMET partner token,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0312,312,616,SPECIES_KEY_SHELMET,チョボマキ,617,SPECIES_KEY_ACCELGOR,アギルダー,通信交換＋カブルモと交換,指定交換は残すが、図鑑完成用にハクジ研究所の「交換シミュレータ」でも進化可能。,SPECIES_KEY_KARRABLAST partner token,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0321,321,349,SPECIES_KEY_FEEBAS,ヒンバス,350,SPECIES_KEY_MILOTIC,ミロカロス,通信交換＋きれいなウロコを持たせる,きれいなウロコを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,きれいなウロコ,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
TRADE_ALT_EVOLUTION_0327,327,682,SPECIES_KEY_SPRITZEE,シュシュプ,683,SPECIES_KEY_AROMATISSE,フレフワン,通信交換＋においぶくろを持たせる,においぶくろを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,においぶくろ,EVENT_TRADE_EMULATOR_SERVICE,HOST_TRADE_EMULATOR,REPEATABLE,READY_TO_INTEGRATE,selected mon species/form/held itemをcommit直前に再確認。失敗時アイテム非消費。
