unlock_key,operator,prerequisite_keys,evidence,status
UNLOCK_NEW_GAME,ROOT,,natural new game root,READY_TO_INTEGRATE
UNLOCK_BADGE_1,AND,UNLOCK_NEW_GAME,existing story state adapter,SYMBOL_BINDING_REQUIRED
UNLOCK_DAYCARE,AND,UNLOCK_BADGE_1,existing story state adapter,SYMBOL_BINDING_REQUIRED
UNLOCK_HALL_OF_FAME,AND,UNLOCK_BADGE_1,existing Hall of Fame state adapter,SYMBOL_BINDING_REQUIRED
UNLOCK_KANTO_EARLY_ACCESS,AND,UNLOCK_HALL_OF_FAME,existing Kanto access state adapter,SYMBOL_BINDING_REQUIRED
UNLOCK_RESEARCH_RANK_1,AND,UNLOCK_HALL_OF_FAME,new research ledger threshold,READY_TO_INTEGRATE
UNLOCK_RESEARCH_RANK_2,AND,UNLOCK_RESEARCH_RANK_1,new research ledger threshold,READY_TO_INTEGRATE
UNLOCK_RESEARCH_RANK_3,AND,UNLOCK_RESEARCH_RANK_2,new research ledger threshold,READY_TO_INTEGRATE
UNLOCK_RESEARCH_RANK_4,AND,UNLOCK_RESEARCH_RANK_3,new research ledger threshold,READY_TO_INTEGRATE
UNLOCK_RESEARCH_RANK_5,AND,UNLOCK_RESEARCH_RANK_4,new research ledger threshold,READY_TO_INTEGRATE
UNLOCK_SPHERE_RUINS_CLEAR,AND,UNLOCK_HALL_OF_FAME,existing story state adapter,SYMBOL_BINDING_REQUIRED
UNLOCK_SPECIAL_ARCHIVE,AND,UNLOCK_HALL_OF_FAME|UNLOCK_KANTO_EARLY_ACCESS,archive NPC and Kanto access,READY_TO_INTEGRATE
UNLOCK_BEAST_BALL,AND,UNLOCK_RESEARCH_RANK_3,Ultra arc reward,READY_TO_INTEGRATE
UNLOCK_PARADOX_RESEARCH,AND,UNLOCK_SPHERE_RUINS_CLEAR|UNLOCK_RESEARCH_RANK_4,postgame research arc,READY_TO_INTEGRATE
UNLOCK_TERA_ORB,AND,UNLOCK_RESEARCH_RANK_5,crystal arc reward,READY_TO_INTEGRATE
UNLOCK_EXISTING_MAP_PROGRESSION,AND,UNLOCK_NEW_GAME,existing ROM map graph; exact story gates preserved,EXISTING_ROM_GRAPH
UNLOCK_EVOLUTION_GLOBAL,AND,UNLOCK_NEW_GAME,existing evolution engine,EXISTING_ROM_GRAPH
UNLOCK_LINK_CORD_SERVICE,AND,UNLOCK_KANTO_EARLY_ACCESS,Saffron service host,READY_TO_INTEGRATE
UNLOCK_FOSSIL_SERVICE,AND,UNLOCK_KANTO_EARLY_ACCESS,Cinnabar lab host,READY_TO_INTEGRATE
UNLOCK_REGIONAL_NURSERY,AND,UNLOCK_KANTO_EARLY_ACCESS,Oak lab host,READY_TO_INTEGRATE
UNLOCK_MOVE_CONDITION_TUTOR,AND,UNLOCK_KANTO_EARLY_ACCESS,Mr Psychic house host,READY_TO_INTEGRATE
