canonical_id,species_key,display_name,review_source_status,final_target_status,completion_weight,decision_reason,direct_wild_or_ecology,evolution_reachable_from_direct,route_runtime_status,notes
1,SPECIES_KEY_VEGA_001,リープン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
2,SPECIES_KEY_VEGA_002,リーティン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
3,SPECIES_KEY_VEGA_003,リーテイル,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
4,SPECIES_KEY_VEGA_004,ファマー,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
5,SPECIES_KEY_VEGA_005,ファイマー,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
6,SPECIES_KEY_VEGA_006,ファマイン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
7,SPECIES_KEY_VEGA_007,アクタシ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
8,SPECIES_KEY_VEGA_008,レクオレ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
9,SPECIES_KEY_VEGA_009,タテボーシ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
21,SPECIES_KEY_VEGA_021,フロン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
22,SPECIES_KEY_VEGA_022,フロルル,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
23,SPECIES_KEY_VEGA_023,フローリア,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
27,SPECIES_KEY_VEGA_027,ゴリチュウ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
37,SPECIES_KEY_VEGA_037,ララベリー,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
38,SPECIES_KEY_VEGA_038,セラーナ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
43,SPECIES_KEY_VEGA_043,マホース,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
44,SPECIES_KEY_VEGA_044,ペガーン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
45,SPECIES_KEY_VEGA_045,ユニサス,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
50,SPECIES_KEY_VEGA_050,ライノス,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
51,SPECIES_KEY_VEGA_051,メタゲラス,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
53,SPECIES_KEY_VEGA_053,ディザソル,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
55,SPECIES_KEY_VEGA_055,フォリキー,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
56,SPECIES_KEY_VEGA_056,バーニン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
57,SPECIES_KEY_VEGA_057,ファントマ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
68,SPECIES_KEY_VEGA_068,テディ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
69,SPECIES_KEY_VEGA_069,ググズリー,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
70,SPECIES_KEY_VEGA_070,ハンタマ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
81,SPECIES_KEY_VEGA_081,ダンゴロウ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
82,SPECIES_KEY_VEGA_082,マルマジロ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
83,SPECIES_KEY_VEGA_083,アロフィー,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
84,SPECIES_KEY_VEGA_084,リーフィス,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
87,SPECIES_KEY_VEGA_087,ユカリア,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
88,SPECIES_KEY_VEGA_088,ネクロシア,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
89,SPECIES_KEY_VEGA_089,カプリン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
90,SPECIES_KEY_VEGA_090,ゴートン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
91,SPECIES_KEY_VEGA_091,バフォット,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
94,SPECIES_KEY_VEGA_094,バードン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
95,SPECIES_KEY_VEGA_095,ゴルドー,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
96,SPECIES_KEY_VEGA_096,フィニクス,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
97,SPECIES_KEY_VEGA_097,クロッチ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
