ledger_bit_index,collection_key,species_key,canonical_id,display_name,target_status,completion_weight,migration_seed
0,COLLECTION_VEGA_0001,SPECIES_KEY_VEGA_001,1,リープン,REQUIRED_VEGA_ORIGINAL,1,caught/registered species; legacy Vega binding when audited
1,COLLECTION_VEGA_0002,SPECIES_KEY_VEGA_002,2,リーティン,REQUIRED_VEGA_ORIGINAL,1,caught/registered species; legacy Vega binding when audited
2,COLLECTION_VEGA_0003,SPECIES_KEY_VEGA_003,3,リーテイル,REQUIRED_VEGA_ORIGINAL,1,caught/registered species; legacy Vega binding when audited
3,COLLECTION_VEGA_0004,SPECIES_KEY_VEGA_004,4,ファマー,REQUIRED_VEGA_ORIGINAL,1,caught/registered species; legacy Vega binding when audited
4,COLLECTION_VEGA_0005,SPECIES_KEY_VEGA_005,5,ファイマー,REQUIRED_VEGA_ORIGINAL,1,caught/registered species; legacy Vega binding when audited
5,COLLECTION_VEGA_0006,SPECIES_KEY_VEGA_006,6,ファマイン,REQUIRED_VEGA_ORIGINAL,1,caught/registered species; legacy Vega binding when audited
6,COLLECTION_VEGA_0007,SPECIES_KEY_VEGA_007,7,アクタシ,REQUIRED_VEGA_ORIGINAL,1,caught/registered species; legacy Vega binding when audited
7,COLLECTION_VEGA_0008,SPECIES_KEY_VEGA_008,8,レクオレ,REQUIRED_VEGA_ORIGINAL,1,caught/registered species; legacy Vega binding when audited
8,COLLECTION_VEGA_0009,SPECIES_KEY_VEGA_009,9,タテボーシ,REQUIRED_VEGA_ORIGINAL,1,caught/registered species; legacy Vega binding when audited
9,COLLECTION_NATIONAL_0276,SPECIES_KEY_TAILLOW,10,スバメ,REQUIRED_BASE,1,caught/registered species; legacy Vega binding when audited
10,COLLECTION_NATIONAL_0277,SPECIES_KEY_SWELLOW,11,オオスバメ,REQUIRED_BASE,1,caught/registered species; legacy Vega binding when audited
11,COLLECTION_NATIONAL_0447,SPECIES_KEY_RIOLU,12,リオル,REQUIRED_BASE,1,caught/registered species; legacy Vega binding when audited
12,COLLECTION_NATIONAL_0448,SPECIES_KEY_LUCARIO,13,ルカリオ,REQUIRED_BASE,1,caught/registered species; legacy Vega binding when audited
13,COLLECTION_NATIONAL_0228,SPECIES_KEY_HOUNDOUR,14,デルビル,REQUIRED_BASE,1,caught/registered species; legacy Vega binding when audited
14,COLLECTION_NATIONAL_0229,SPECIES_KEY_HOUNDOOM,15,ヘルガー,REQUIRED_BASE,1,caught/registered species; legacy Vega binding when audited
15,COLLECTION_NATIONAL_0050,SPECIES_KEY_DIGLETT,16,ディグダ,REQUIRED_BASE,1,caught/registered species; legacy Vega binding when audited
16,COLLECTION_NATIONAL_0051,SPECIES_KEY_DUGTRIO,17,ダグトリオ,REQUIRED_BASE,1,caught/registered species; legacy Vega binding when audited
17,COLLECTION_NATIONAL_0175,SPECIES_KEY_TOGEPI,18,トゲピー,REQUIRED_BASE,1,caught/registered species; legacy Vega binding when audited
18,COLLECTION_NATIONAL_0176,SPECIES_KEY_TOGETIC,19,トゲチック,REQUIRED_BASE,1,caught/registered species; legacy Vega binding when audited
19,COLLECTION_NATIONAL_0468,SPECIES_KEY_TOGEKISS,20,トゲキッス,REQUIRED_BASE,1,caught/registered species; legacy Vega binding when audited
20,COLLECTION_VEGA_0021,SPECIES_KEY_VEGA_021,21,フロン,REQUIRED_VEGA_ORIGINAL,1,caught/registered species; legacy Vega binding when audited
