claim_bit_index,claim_key,event_keys,species_keys,max_claims,migration_seed
0,CLAIM_ENABLING_FORM_1393,EVENT_REGIONAL_EGG_1393,SPECIES_KEY_MEOWTH_G,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
1,CLAIM_ENABLING_FORM_1398,EVENT_REGIONAL_EGG_1398,SPECIES_KEY_FARFETCHD_G,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
2,CLAIM_ENABLING_FORM_1401,EVENT_REGIONAL_EGG_1401,SPECIES_KEY_MR_MIME_G,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
3,CLAIM_ENABLING_FORM_1406,EVENT_REGIONAL_EGG_1406,SPECIES_KEY_CORSOLA_G,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
4,CLAIM_ENABLING_FORM_1408,EVENT_REGIONAL_EGG_1408,SPECIES_KEY_LINOONE_G,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
5,CLAIM_ENABLING_FORM_1413,EVENT_REGIONAL_EGG_1413,SPECIES_KEY_YAMASK_G,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
6,CLAIM_ENABLING_FORM_1420,EVENT_REGIONAL_EGG_1420,SPECIES_KEY_QWILFISH_H,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
7,CLAIM_ENABLING_FORM_1421,EVENT_REGIONAL_EGG_1421,SPECIES_KEY_SNEASEL_H,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
8,CLAIM_ENABLING_FORM_1424,EVENT_REGIONAL_EGG_1424,SPECIES_KEY_BASCULIN_H,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
9,CLAIM_ENABLING_FORM_1593,EVENT_REGIONAL_EGG_1593,SPECIES_KEY_WOOPER_P,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
10,CLAIM_FOSSIL_NATIONAL_0138,EVENT_FOSSIL_RESTORE_NATIONAL_0138,SPECIES_KEY_OMANYTE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
11,CLAIM_FOSSIL_NATIONAL_0140,EVENT_FOSSIL_RESTORE_NATIONAL_0140,SPECIES_KEY_KABUTO,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
12,CLAIM_FOSSIL_NATIONAL_0347,EVENT_FOSSIL_RESTORE_NATIONAL_0347,SPECIES_KEY_ANORITH,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
13,CLAIM_FOSSIL_NATIONAL_0408,EVENT_FOSSIL_RESTORE_NATIONAL_0408,SPECIES_KEY_CRANIDOS,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
14,CLAIM_FOSSIL_NATIONAL_0410,EVENT_FOSSIL_RESTORE_NATIONAL_0410,SPECIES_KEY_SHIELDON,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
15,CLAIM_FOSSIL_NATIONAL_0564,EVENT_FOSSIL_RESTORE_NATIONAL_0564,SPECIES_KEY_TIRTOUGA,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
16,CLAIM_FOSSIL_NATIONAL_0566,EVENT_FOSSIL_RESTORE_NATIONAL_0566,SPECIES_KEY_ARCHEN,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
17,CLAIM_FOSSIL_NATIONAL_0696,EVENT_FOSSIL_RESTORE_NATIONAL_0696,SPECIES_KEY_TYRUNT,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
18,CLAIM_FOSSIL_NATIONAL_0698,EVENT_FOSSIL_RESTORE_NATIONAL_0698,SPECIES_KEY_AMAURA,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
19,CLAIM_FOSSIL_NATIONAL_0880,EVENT_FOSSIL_RESTORE_NATIONAL_0880,SPECIES_KEY_DRACOZOLT,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
20,CLAIM_FOSSIL_NATIONAL_0881,EVENT_FOSSIL_RESTORE_NATIONAL_0881,SPECIES_KEY_ARCTOZOLT,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
21,CLAIM_FOSSIL_NATIONAL_0882,EVENT_FOSSIL_RESTORE_NATIONAL_0882,SPECIES_KEY_DRACOVISH,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
22,CLAIM_FOSSIL_NATIONAL_0883,EVENT_FOSSIL_RESTORE_NATIONAL_0883,SPECIES_KEY_ARCTOVISH,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
23,CLAIM_STARTER_NATIONAL_0152,EVENT_STARTER_LAB_NATIONAL_0152,SPECIES_KEY_CHIKORITA,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
24,CLAIM_STARTER_NATIONAL_0155,EVENT_STARTER_LAB_NATIONAL_0155,SPECIES_KEY_CYNDAQUIL,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
25,CLAIM_STARTER_NATIONAL_0158,EVENT_STARTER_LAB_NATIONAL_0158,SPECIES_KEY_TOTODILE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
26,CLAIM_STARTER_NATIONAL_0252,EVENT_STARTER_LAB_NATIONAL_0252,SPECIES_KEY_TREECKO,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
27,CLAIM_STARTER_NATIONAL_0255,EVENT_STARTER_LAB_NATIONAL_0255,SPECIES_KEY_TORCHIC,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
28,CLAIM_STARTER_NATIONAL_0258,EVENT_STARTER_LAB_NATIONAL_0258,SPECIES_KEY_MUDKIP,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
29,CLAIM_STARTER_NATIONAL_0387,EVENT_STARTER_LAB_NATIONAL_0387,SPECIES_KEY_TURTWIG,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
30,CLAIM_STARTER_NATIONAL_0390,EVENT_STARTER_LAB_NATIONAL_0390,SPECIES_KEY_CHIMCHAR,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
31,CLAIM_STARTER_NATIONAL_0393,EVENT_STARTER_LAB_NATIONAL_0393,SPECIES_KEY_PIPLUP,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
32,CLAIM_STARTER_NATIONAL_0495,EVENT_STARTER_LAB_NATIONAL_0495,SPECIES_KEY_SNIVY,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
33,CLAIM_STARTER_NATIONAL_0498,EVENT_STARTER_LAB_NATIONAL_0498,SPECIES_KEY_TEPIG,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
34,CLAIM_STARTER_NATIONAL_0501,EVENT_STARTER_LAB_NATIONAL_0501,SPECIES_KEY_OSHAWOTT,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
35,CLAIM_STARTER_NATIONAL_0650,EVENT_STARTER_LAB_NATIONAL_0650,SPECIES_KEY_CHESPIN,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
36,CLAIM_STARTER_NATIONAL_0653,EVENT_STARTER_LAB_NATIONAL_0653,SPECIES_KEY_FENNEKIN,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
37,CLAIM_STARTER_NATIONAL_0656,EVENT_STARTER_LAB_NATIONAL_0656,SPECIES_KEY_FROAKIE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
38,CLAIM_STARTER_NATIONAL_0722,EVENT_STARTER_LAB_NATIONAL_0722,SPECIES_KEY_ROWLET,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
39,CLAIM_STARTER_NATIONAL_0725,EVENT_STARTER_LAB_NATIONAL_0725,SPECIES_KEY_LITTEN,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
40,CLAIM_STARTER_NATIONAL_0728,EVENT_STARTER_LAB_NATIONAL_0728,SPECIES_KEY_POPPLIO,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
41,CLAIM_STARTER_NATIONAL_0810,EVENT_STARTER_LAB_NATIONAL_0810,SPECIES_KEY_GROOKEY,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
42,CLAIM_STARTER_NATIONAL_0813,EVENT_STARTER_LAB_NATIONAL_0813,SPECIES_KEY_SCORBUNNY,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
43,CLAIM_STARTER_NATIONAL_0816,EVENT_STARTER_LAB_NATIONAL_0816,SPECIES_KEY_SOBBLE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
44,CLAIM_STARTER_NATIONAL_0906,EVENT_STARTER_LAB_NATIONAL_0906,SPECIES_KEY_SPRIGATITO,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
45,CLAIM_STARTER_NATIONAL_0909,EVENT_STARTER_LAB_NATIONAL_0909,SPECIES_KEY_FUECOCO,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
46,CLAIM_STARTER_NATIONAL_0912,EVENT_STARTER_LAB_NATIONAL_0912,SPECIES_KEY_QUAXLY,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
47,SHARED_CAPTURE_KEY_NATIONAL_0144,EVENT_SPECIAL_NATIONAL_0144,SPECIES_KEY_ARTICUNO,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
48,SHARED_CAPTURE_KEY_NATIONAL_0145,EVENT_SPECIAL_NATIONAL_0145,SPECIES_KEY_ZAPDOS,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
49,SHARED_CAPTURE_KEY_NATIONAL_0146,EVENT_SPECIAL_NATIONAL_0146,SPECIES_KEY_MOLTRES,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
50,SHARED_CAPTURE_KEY_NATIONAL_0150,EVENT_SPECIAL_NATIONAL_0150,SPECIES_KEY_MEWTWO,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
51,SHARED_CAPTURE_KEY_NATIONAL_0151,EVENT_SPECIAL_NATIONAL_0151,SPECIES_KEY_MEW,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
