vega_id,species_key,legacy_event_semantic,candidate_map_group,candidate_map_id,candidate_event_kind,candidate_local_id_or_index,candidate_script_pointer,observed_species_id,observed_completion_flag_or_ledger,binding_status,release_action
121,SPECIES_KEY_VEGA_121,FOSSIL_RESTORE,,,,,,,,UNBOUND,promote legacy primary only after exact-ROM audit; Kanto fallback remains independent
122,SPECIES_KEY_VEGA_122,EVOLUTION,,,,,,,,UNBOUND,promote legacy primary only after exact-ROM audit; Kanto fallback remains independent
142,SPECIES_KEY_VEGA_142,FIXED_CAPTURE,,,,,,,,UNBOUND,promote legacy primary only after exact-ROM audit; Kanto fallback remains independent
143,SPECIES_KEY_VEGA_143,FIXED_CAPTURE,,,,,,,,UNBOUND,promote legacy primary only after exact-ROM audit; Kanto fallback remains independent
144,SPECIES_KEY_VEGA_144,FIXED_CAPTURE,,,,,,,,UNBOUND,promote legacy primary only after exact-ROM audit; Kanto fallback remains independent
388,SPECIES_KEY_VEGA_388,FOSSIL_RESTORE,,,,,,,,UNBOUND,promote legacy primary only after exact-ROM audit; Kanto fallback remains independent
389,SPECIES_KEY_VEGA_389,EVOLUTION,,,,,,,,UNBOUND,promote legacy primary only after exact-ROM audit; Kanto fallback remains independent
390,SPECIES_KEY_VEGA_390,FOSSIL_RESTORE,,,,,,,,UNBOUND,promote legacy primary only after exact-ROM audit; Kanto fallback remains independent
400,SPECIES_KEY_VEGA_400,FIXED_CAPTURE,,,,,,,,UNBOUND,promote legacy primary only after exact-ROM audit; Kanto fallback remains independent
401,SPECIES_KEY_VEGA_401,FIXED_CAPTURE,,,,,,,,UNBOUND,promote legacy primary only after exact-ROM audit; Kanto fallback remains independent
402,SPECIES_KEY_VEGA_402,GIFT,,,,,,,,UNBOUND,promote legacy primary only after exact-ROM audit; Kanto fallback remains independent
406,SPECIES_KEY_VEGA_406,GIFT,,,,,,,,UNBOUND,promote legacy primary only after exact-ROM audit; Kanto fallback remains independent
409,SPECIES_KEY_VEGA_409,EVOLUTION,,,,,,,,UNBOUND,promote legacy primary only after exact-ROM audit; Kanto fallback remains independent
410,SPECIES_KEY_VEGA_410,FIXED_CAPTURE,,,,,,,,UNBOUND,promote legacy primary only after exact-ROM audit; Kanto fallback remains independent
