symbol_key,kind,owner,resolution_source,release_requirement,status,notes
EVENT_SPECIAL_NATIONAL_0144,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0145,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0146,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0150,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0151,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0243,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0244,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0245,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0249,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0250,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0251,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0377,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0378,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0379,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0380,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0381,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0382,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0383,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0384,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0385,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0386,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0480,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0481,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0482,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0483,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0484,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0485,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
